# File Name: Holy-Bible---Holy-Bible---Kurama---Kurama-Akurumi-Bible---Analysis.txt
# File Size: 25412       
# File Date: 12/13/2025 05:43:47
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: T'kurmi Bible
# Bible Name English: Kurama Akurumi Bible
# Bible Language: T'kurmi
# Bible Language English: Kurama
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Nigeria Bible Translation Trust
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=krh
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kurama---Kurama-Akurumi-Bible	ENCODING	Source	Holy-Bible---Kurama---Kurama-Akurumi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kurama---Kurama-Akurumi-Bible	ENCODING	Aionian	Holy-Bible---Kurama---Kurama-Akurumi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kurama---Kurama-Akurumi-Bible	BYTES	Source	bytes / chars	111366 / 107977 (multi-byte)	NOTICE
Kurama---Kurama-Akurumi-Bible	BYTES	Aionian	bytes / chars	117821 / 114101 (multi-byte)	NOTICE
Kurama---Kurama-Akurumi-Bible	BYTES	SourceClean	bytes / chars	106422 / 103140 (multi-byte)	NOTICE
Kurama---Kurama-Akurumi-Bible	BYTES	AionianClean	bytes / chars	116325 / 112605 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	book-defined-not-exist	228	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	aionian-verses	36	NOTICE
Kurama---Kurama-Akurumi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kurama---Kurama-Akurumi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kurama---Kurama-Akurumi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kurama---Kurama-Akurumi-Bible	UNICODE	Summary	(-)Orginal	64	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Summary	(+)Aionian	70	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : (H)	349	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : (B)	423	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : ( )	17670	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : (1)	874	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : (:)	711	NOTICE
Kurama---Kurama-Akurumi-Bible	UNICODE	Source(-)	Basic Latin : (N)	89	NOTICE
