# File Name: Holy-Bible---Holy-Bible---Kurdish---Sorani-Bible---Analysis.txt
# File Size: 40211       
# File Date: 12/13/2025 05:43:51
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: وەشانی بێبەرامبەری کوردیی سۆرانیی ستاندەر
# Bible Name English: Kurdish Sorani Bible
# Bible Language: كوردی سۆرانی
# Bible Language English: Kurdish, Central
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=ckb
# Bible Source Year: 1998, 2011, 2016, 2020
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kurdish---Sorani-Bible	ENCODING	Source	Holy-Bible---Kurdish---Sorani-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kurdish---Sorani-Bible	ENCODING	Aionian	Holy-Bible---Kurdish---Sorani-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kurdish---Sorani-Bible	BYTES	Source	bytes / chars	6590512 / 3731806 (multi-byte)	NOTICE
Kurdish---Sorani-Bible	BYTES	Aionian	bytes / chars	6803707 / 3944257 (multi-byte)	NOTICE
Kurdish---Sorani-Bible	BYTES	SourceClean	bytes / chars	6589697 / 3730991 (multi-byte)	NOTICE
Kurdish---Sorani-Bible	BYTES	AionianClean	bytes / chars	6799413 / 3940557 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kurdish---Sorani-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Kurdish---Sorani-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kurdish---Sorani-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kurdish---Sorani-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kurdish---Sorani-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Kurdish---Sorani-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : ( )	577182	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (1)	30445	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (:)	39252	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (.)	30548	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31103	NOTICE
Kurdish---Sorani-Bible	UNICODE	Source(-)	Basic Latin : (2)	21665	NOTICE
