# File Name: Holy-Bible---Holy-Bible---Kutu---Kutu-Bible---Analysis.txt
# File Size: 16355       
# File Date: 12/13/2025 05:43:59
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Lagano da Sambi kwa Wanhu Wose
# Bible Name English: Kutu Bible
# Bible Language: Kutu
# Bible Language English: Kutu
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kdc2014
# Bible Source Year: 2014
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kutu---Kutu-Bible	ENCODING	Source	Holy-Bible---Kutu---Kutu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kutu---Kutu-Bible	ENCODING	Aionian	Holy-Bible---Kutu---Kutu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kutu---Kutu-Bible	BYTES	Source	bytes / chars	1069868 / 1060146 (multi-byte)	NOTICE
Kutu---Kutu-Bible	BYTES	Aionian	bytes / chars	1128508 / 1118598 (multi-byte)	NOTICE
Kutu---Kutu-Bible	BYTES	SourceClean	bytes / chars	1069055 / 1059333 (multi-byte)	NOTICE
Kutu---Kutu-Bible	BYTES	AionianClean	bytes / chars	1126321 / 1116411 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kutu---Kutu-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Kutu---Kutu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kutu---Kutu-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kutu---Kutu-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kutu---Kutu-Bible	UNICODE	Summary	(-)Orginal	44	NOTICE
Kutu---Kutu-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (M)	9345	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (A)	4641	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (T)	3262	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : ( )	147717	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (:)	7959	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (i)	68759	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (t)	13255	NOTICE
Kutu---Kutu-Bible	UNICODE	Source(-)	Basic Latin : (a)	144497	NOTICE
