# File Name: Holy-Bible---Holy-Bible---Kuturmi---Kuturmi-Bible---Analysis.txt
# File Size: 16201       
# File Date: 12/13/2025 05:44:01
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ibiro-Ikryo Bible
# Bible Name English: Kuturmi Bible
# Bible Language: Ibiro-Ikryo
# Bible Language English: Kuturmi
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Luke Initiative for Scripture Translation
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=khj
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kuturmi---Kuturmi-Bible	ENCODING	Source	Holy-Bible---Kuturmi---Kuturmi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kuturmi---Kuturmi-Bible	ENCODING	Aionian	Holy-Bible---Kuturmi---Kuturmi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kuturmi---Kuturmi-Bible	BYTES	Source	bytes / chars	154033 / 140851 (multi-byte)	NOTICE
Kuturmi---Kuturmi-Bible	BYTES	Aionian	bytes / chars	162326 / 149131 (multi-byte)	NOTICE
Kuturmi---Kuturmi-Bible	BYTES	SourceClean	bytes / chars	153216 / 140034 (multi-byte)	NOTICE
Kuturmi---Kuturmi-Bible	BYTES	AionianClean	bytes / chars	161037 / 147842 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	book-defined-not-exist	250	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	aionian-verses	14	NOTICE
Kuturmi---Kuturmi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kuturmi---Kuturmi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kuturmi---Kuturmi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kuturmi---Kuturmi-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Summary	(+)Aionian	31	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : ( )	25109	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : (1)	954	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : (:)	1205	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : (i)	12238	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : (y)	4313	NOTICE
Kuturmi---Kuturmi-Bible	UNICODE	Source(-)	Basic Latin : (o)	5448	NOTICE
