# File Name: Holy-Bible---Holy-Bible---Kuvi---Kuvi-Bible---Analysis.txt
# File Size: 20389       
# File Date: 12/13/2025 05:44:03
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ପୁଃନି ମେ଼ରା
# Bible Name English: New Testament in Kuvi
# Bible Language: କୁଭି, କୁୱି
# Bible Language English: Kuvi
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kxv
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Kuvi---Kuvi-Bible	ENCODING	Source	Holy-Bible---Kuvi---Kuvi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Kuvi---Kuvi-Bible	ENCODING	Aionian	Holy-Bible---Kuvi---Kuvi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Kuvi---Kuvi-Bible	BYTES	Source	bytes / chars	2956803 / 1145243 (multi-byte)	NOTICE
Kuvi---Kuvi-Bible	BYTES	Aionian	bytes / chars	3013896 / 1201898 (multi-byte)	NOTICE
Kuvi---Kuvi-Bible	BYTES	SourceClean	bytes / chars	2956009 / 1144449 (multi-byte)	NOTICE
Kuvi---Kuvi-Bible	BYTES	AionianClean	bytes / chars	3011619 / 1199871 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Kuvi---Kuvi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Kuvi---Kuvi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Kuvi---Kuvi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Kuvi---Kuvi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Kuvi---Kuvi-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (T)	2413	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : ( )	159633	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (1)	7909	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (:)	7870	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7870	NOTICE
Kuvi---Kuvi-Bible	UNICODE	Source(-)	Basic Latin : (2)	5106	NOTICE
