# File Name: Holy-Bible---Holy-Bible---Latin---Clementine-Vulgate-Conte---Analysis.txt
# File Size: 29180       
# File Date: 12/13/2025 05:44:15
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibbia Vulgata Clementina
# Bible Name English: Clementine Vulgate, Conte
# Bible Language: Latine
# Bible Language English: Latin
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Saint Jerome, revised by Sixtus V and Clement VIII, Ronald Conte
# Bible Source Version: 1/15/2014
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=VulgConte
# Bible Source Year: 405, 2009
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Latin---Clementine-Vulgate-Conte	ENCODING	Source	Holy-Bible---Latin---Clementine-Vulgate-Conte---Source-Edition.SWORD.txt	UTF-8	NOTICE
Latin---Clementine-Vulgate-Conte	ENCODING	Aionian	Holy-Bible---Latin---Clementine-Vulgate-Conte---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Latin---Clementine-Vulgate-Conte	BYTES	Source	bytes / chars	4664434 / 4641271 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Conte	BYTES	Aionian	bytes / chars	4041718 / 4021262 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Conte	BYTES	SourceClean	bytes / chars	4545374 / 4522211 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Conte	BYTES	AionianClean	bytes / chars	4037948 / 4017503 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	book-not-exist	0	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	missing-chapter	0	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	missing-verse	0	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	aionian-verses	264	NOTICE
Latin---Clementine-Vulgate-Conte	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Latin---Clementine-Vulgate-Conte	UNPRINTABLE	Source	count	0	NOTICE
Latin---Clementine-Vulgate-Conte	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Latin---Clementine-Vulgate-Conte	UNICODE	Summary	(-)Orginal	76	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Summary	(+)Aionian	75	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : ( )	659912	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : (T)	3179	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : (e)	406062	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : (s)	267937	NOTICE
Latin---Clementine-Vulgate-Conte	UNICODE	Source(-)	Basic Latin : (t)	299491	NOTICE
