# File Name: Holy-Bible---Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer---Analysis.txt
# File Size: 31554       
# File Date: 12/13/2025 05:44:23
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibbia Vulgata Clementina
# Bible Name English: Clementine Vulgate, Hetzenauer
# Bible Language: Latine
# Bible Language English: Latin
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Saint Jerome, revised by Sistus V and Clement VIII, P. Michael Hetzenauer
# Bible Source Version: 1/15/2014
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=VulgHetzenauer
# Bible Source Year: 405, 1914
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Latin---Clementine-Vulgate-Hetzenauer	ENCODING	Source	Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer---Source-Edition.SWORD.txt	UTF-8	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	ENCODING	Aionian	Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Latin---Clementine-Vulgate-Hetzenauer	BYTES	Source	bytes / chars	4674533 / 4651269 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	BYTES	Aionian	bytes / chars	4041487 / 4021036 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	BYTES	SourceClean	bytes / chars	4555448 / 4532184 (multi-byte)	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	BYTES	AionianClean	bytes / chars	4037693 / 4017253 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	book-not-exist	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	missing-chapter	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	missing-verse	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	aionian-verses	264	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Latin---Clementine-Vulgate-Hetzenauer	UNPRINTABLE	Source	count	0	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Latin---Clementine-Vulgate-Hetzenauer	UNICODE	Summary	(-)Orginal	77	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	UNICODE	Summary	(+)Aionian	76	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	UNICODE	Source(-)	Basic Latin : ( )	661269	NOTICE
Latin---Clementine-Vulgate-Hetzenauer	UNICODE	Source(-)	Basic Latin : (T)	3139	NOTICE
