# File Name: Holy-Bible---Holy-Bible---Latin---Vulgate-Jerome---Analysis.txt
# File Size: 22794       
# File Date: 12/13/2025 05:44:47
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibbia Vulgata Jerome
# Bible Name English: Jerome Vulgate Bible
# Bible Language: Latine
# Bible Language English: Latin
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Saint Jerome's A.D. 405 Biblia Sacra Vulgata Latina
# Bible Source Version: 2/16/2021
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Vulgate
# Bible Source Year: 405
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Latin---Vulgate-Jerome	ENCODING	Source	Holy-Bible---Latin---Vulgate-Jerome---Source-Edition.SWORD.txt	UTF-8	NOTICE
Latin---Vulgate-Jerome	ENCODING	Aionian	Holy-Bible---Latin---Vulgate-Jerome---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Latin---Vulgate-Jerome	BYTES	Source	bytes / chars	4882762 / 4882753 (multi-byte)	NOTICE
Latin---Vulgate-Jerome	BYTES	Aionian	bytes / chars	3899010 / 3898811 (multi-byte)	NOTICE
Latin---Vulgate-Jerome	BYTES	SourceClean	bytes / chars	4576688 / 4576687 (multi-byte)	NOTICE
Latin---Vulgate-Jerome	BYTES	AionianClean	bytes / chars	3895280 / 3895092 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Latin---Vulgate-Jerome	AIONIAN	Aionian	book-not-exist	0	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	missing-chapter	0	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	missing-verse	0	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	aionian-verses	264	NOTICE
Latin---Vulgate-Jerome	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Latin---Vulgate-Jerome	UNPRINTABLE	Source	count	0	NOTICE
Latin---Vulgate-Jerome	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Latin---Vulgate-Jerome	UNICODE	Summary	(-)Orginal	75	NOTICE
Latin---Vulgate-Jerome	UNICODE	Summary	(+)Aionian	73	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : ([)	29	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : ( )	689777	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (T)	1438	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (e)	452738	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (s)	282578	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (t)	312868	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (a)	291292	NOTICE
Latin---Vulgate-Jerome	UNICODE	Source(-)	Basic Latin : (m)	198388	NOTICE
