# File Name: Holy-Bible---Holy-Bible---Latvian---Latvian-Gluck-Bible---Analysis.txt
# File Size: 39857       
# File Date: 12/13/2025 05:44:56
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Latviešu Glück Bībele
# Bible Name English: Latvian Glück Bible 8th edition
# Bible Language: Latviešu
# Bible Language English: Latvian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Johann Ernst Glück 7th edition with orthographic updates
# Bible Source Version: 4/29/2019
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=LvGluck8
# Bible Source Year: 1898
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Latvian---Latvian-Gluck-Bible	ENCODING	Source	Holy-Bible---Latvian---Latvian-Gluck-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Latvian---Latvian-Gluck-Bible	ENCODING	Aionian	Holy-Bible---Latvian---Latvian-Gluck-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Latvian---Latvian-Gluck-Bible	BYTES	Source	bytes / chars	6148666 / 5821701 (multi-byte)	NOTICE
Latvian---Latvian-Gluck-Bible	BYTES	Aionian	bytes / chars	4470286 / 4145141 (multi-byte)	NOTICE
Latvian---Latvian-Gluck-Bible	BYTES	SourceClean	bytes / chars	4427496 / 4102609 (multi-byte)	NOTICE
Latvian---Latvian-Gluck-Bible	BYTES	AionianClean	bytes / chars	4466214 / 4141173 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Latvian---Latvian-Gluck-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Latvian---Latvian-Gluck-Bible	UNPRINTABLE	Source	count	0	NOTICE
Latvian---Latvian-Gluck-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Latvian---Latvian-Gluck-Bible	UNICODE	Summary	(-)Orginal	70	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Summary	(+)Aionian	68	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : ( )	689674	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : (T)	18471	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : (e)	209486	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : (s)	275033	NOTICE
Latvian---Latvian-Gluck-Bible	UNICODE	Source(-)	Basic Latin : (t)	172094	NOTICE
