# File Name: Holy-Bible---Holy-Bible---Lingala---Lingala-Bible---Analysis.txt
# File Size: 38143       
# File Date: 12/13/2025 05:45:05
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Mokanda na Bomoi
# Bible Name English: Lingala Bible
# Bible Language: Lingála
# Bible Language English: Lingala
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=lin
# Bible Source Year: 2020
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Lingala---Lingala-Bible	ENCODING	Source	Holy-Bible---Lingala---Lingala-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Lingala---Lingala-Bible	ENCODING	Aionian	Holy-Bible---Lingala---Lingala-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Lingala---Lingala-Bible	BYTES	Source	bytes / chars	4917170 / 4863732 (multi-byte)	NOTICE
Lingala---Lingala-Bible	BYTES	Aionian	bytes / chars	5061594 / 5042535 (multi-byte)	NOTICE
Lingala---Lingala-Bible	BYTES	SourceClean	bytes / chars	4916338 / 4862900 (multi-byte)	NOTICE
Lingala---Lingala-Bible	BYTES	AionianClean	bytes / chars	5058014 / 5038956 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Lingala---Lingala-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Lingala---Lingala-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Lingala---Lingala-Bible	UNPRINTABLE	Source	count	0	NOTICE
Lingala---Lingala-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Lingala---Lingala-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Lingala---Lingala-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (G)	3382	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (E)	16283	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (N)	21356	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : ( )	807235	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (1)	30504	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (:)	41169	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (a)	702105	NOTICE
Lingala---Lingala-Bible	UNICODE	Source(-)	Basic Latin : (e)	260189	NOTICE
