# File Name: Holy-Bible---Holy-Bible---Luganda---Luganda-Bible---Analysis.txt
# File Size: 54375       
# File Date: 12/13/2025 05:45:25
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bayibuli Entukuvu
# Bible Name English: Luganda Bible
# Bible Language: Luganda
# Bible Language English: Luganda
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=lug
# Bible Source Year: 1984, 1986, 1993, 2014
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Luganda---Luganda-Bible	ENCODING	Source	Holy-Bible---Luganda---Luganda-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Luganda---Luganda-Bible	ENCODING	Aionian	Holy-Bible---Luganda---Luganda-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Luganda---Luganda-Bible	BYTES	Source	bytes / chars	4544929 / 4375669 (multi-byte)	NOTICE
Luganda---Luganda-Bible	BYTES	Aionian	bytes / chars	4755385 / 4587445 (multi-byte)	NOTICE
Luganda---Luganda-Bible	BYTES	SourceClean	bytes / chars	4544112 / 4374852 (multi-byte)	NOTICE
Luganda---Luganda-Bible	BYTES	AionianClean	bytes / chars	4751705 / 4583767 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Luganda---Luganda-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Luganda---Luganda-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Luganda---Luganda-Bible	UNPRINTABLE	Source	count	0	NOTICE
Luganda---Luganda-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Luganda---Luganda-Bible	UNICODE	Summary	(-)Orginal	51	NOTICE
Luganda---Luganda-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (G)	3813	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (E)	17784	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : ( )	574759	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (1)	30527	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (:)	32002	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (u)	256293	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (l)	109352	NOTICE
Luganda---Luganda-Bible	UNICODE	Source(-)	Basic Latin : (b)	208817	NOTICE
