# File Name: Holy-Bible---Holy-Bible---Lungga---Lungga-Bible---Analysis.txt
# File Size: 381587      
# File Date: 12/13/2025 05:45:34
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Luqa Bible
# Bible Name English: Lungga Bible
# Bible Language: Luqa
# Bible Language English: Lungga
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Islands Bible Ministries
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=lga
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Lungga---Lungga-Bible	ENCODING	Source	Holy-Bible---Lungga---Lungga-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Lungga---Lungga-Bible	ENCODING	Aionian	Holy-Bible---Lungga---Lungga-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Lungga---Lungga-Bible	BYTES	Source	bytes / chars	1763150 / 1763082 (multi-byte)	NOTICE
Lungga---Lungga-Bible	BYTES	Aionian	bytes / chars	1839167 / 1827755 (multi-byte)	NOTICE
Lungga---Lungga-Bible	BYTES	SourceClean	bytes / chars	1593631 / 1593563 (multi-byte)	NOTICE
Lungga---Lungga-Bible	BYTES	AionianClean	bytes / chars	1836937 / 1825525 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Lungga---Lungga-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	book-defined-not-exist	59	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	aionian-verses	205	NOTICE
Lungga---Lungga-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Lungga---Lungga-Bible	UNPRINTABLE	Source	count	0	NOTICE
Lungga---Lungga-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Lungga---Lungga-Bible	UNICODE	Summary	(-)Orginal	68	NOTICE
Lungga---Lungga-Bible	UNICODE	Summary	(+)Aionian	73	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (G)	2365	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (E)	4294	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (N)	2914	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : ( )	296183	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (1)	9297	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (:)	9957	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (P)	2930	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (a)	274792	NOTICE
Lungga---Lungga-Bible	UNICODE	Source(-)	Basic Latin : (p)	27955	NOTICE
