# File Name: Holy-Bible---Holy-Bible---Makhuwa-Meetto---Makua-Bible---Analysis.txt
# File Size: 21826       
# File Date: 12/13/2025 05:45:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Makua Bible
# Bible Name English: Makhuwa-Meetto Bible
# Bible Language: Makua
# Bible Language English: Makhuwa-Meetto
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mgh2016
# Bible Source Year: 2015
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Makhuwa-Meetto---Makua-Bible	ENCODING	Source	Holy-Bible---Makhuwa-Meetto---Makua-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Makhuwa-Meetto---Makua-Bible	ENCODING	Aionian	Holy-Bible---Makhuwa-Meetto---Makua-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Makhuwa-Meetto---Makua-Bible	BYTES	Source	bytes / chars	1201613 / 1191873 (multi-byte)	NOTICE
Makhuwa-Meetto---Makua-Bible	BYTES	Aionian	bytes / chars	1260335 / 1250407 (multi-byte)	NOTICE
Makhuwa-Meetto---Makua-Bible	BYTES	SourceClean	bytes / chars	1200778 / 1191038 (multi-byte)	NOTICE
Makhuwa-Meetto---Makua-Bible	BYTES	AionianClean	bytes / chars	1258030 / 1248102 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Makhuwa-Meetto---Makua-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Makhuwa-Meetto---Makua-Bible	UNPRINTABLE	Source	count	0	NOTICE
Makhuwa-Meetto---Makua-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Makhuwa-Meetto---Makua-Bible	UNICODE	Summary	(-)Orginal	48	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Source(-)	Basic Latin : (M)	4948	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Source(-)	Basic Latin : (A)	6120	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Source(-)	Basic Latin : (T)	2796	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Source(-)	Basic Latin : ( )	158462	NOTICE
Makhuwa-Meetto---Makua-Bible	UNICODE	Source(-)	Basic Latin : (1)	8054	NOTICE
