# File Name: Holy-Bible---Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible---Analysis.txt
# File Size: 59712       
# File Date: 12/13/2025 05:45:58
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Saontsin’ Añahare, Madagascar
# Bible Name English: Malagasy Tandroy-Mahafaly Bible
# Bible Language: Tandroy
# Bible Language English: Malagasy, Tandroy-Mahafaly
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Steve Lellelid
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=tdx
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Malagasy---Tandroy-Mahafaly-Bible	ENCODING	Source	Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	ENCODING	Aionian	Holy-Bible---Malagasy---Tandroy-Mahafaly-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Malagasy---Tandroy-Mahafaly-Bible	BYTES	Source	bytes / chars	4406923 / 4066873 (multi-byte)	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	BYTES	Aionian	bytes / chars	4619819 / 4280134 (multi-byte)	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	BYTES	SourceClean	bytes / chars	4406086 / 4066036 (multi-byte)	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	BYTES	AionianClean	bytes / chars	4616261 / 4276579 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Malagasy---Tandroy-Mahafaly-Bible	UNPRINTABLE	Source	count	0	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Summary	(-)Orginal	77	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Summary	(+)Aionian	56	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Source(-)	Basic Latin : (G)	3316	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Source(-)	Basic Latin : (N)	9406	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Source(-)	Basic Latin : ( )	607799	NOTICE
Malagasy---Tandroy-Mahafaly-Bible	UNICODE	Source(-)	Basic Latin : (1)	30444	NOTICE
