# File Name: Holy-Bible---Holy-Bible---Malayalam---1910-Contemporary---Analysis.txt
# File Size: 39072       
# File Date: 12/13/2025 05:46:11
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: മലയാളം ബൈബിള്‍ 1910 Modern
# Bible Name English: Malayalam Bible 1910 Modern
# Bible Language: മലയാളം
# Bible Language English: Malayalam
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Free Bible Foundation
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mal2015
# Bible Source Year: 2015
# Bible Description: Malayalam 1910 Edition in Contemporary Orthography
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Malayalam---1910-Contemporary	ENCODING	Source	Holy-Bible---Malayalam---1910-Contemporary---Source-Edition.VPL.txt	UTF-8	NOTICE
Malayalam---1910-Contemporary	ENCODING	Aionian	Holy-Bible---Malayalam---1910-Contemporary---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Malayalam---1910-Contemporary	BYTES	Source	bytes / chars	11226162 / 4253794 (multi-byte)	NOTICE
Malayalam---1910-Contemporary	BYTES	Aionian	bytes / chars	11440909 / 4467781 (multi-byte)	NOTICE
Malayalam---1910-Contemporary	BYTES	SourceClean	bytes / chars	11225325 / 4252957 (multi-byte)	NOTICE
Malayalam---1910-Contemporary	BYTES	AionianClean	bytes / chars	11436049 / 4464083 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Malayalam---1910-Contemporary	AIONIAN	Aionian	book-not-exist	0	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	missing-chapter	0	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	missing-verse	0	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	aionian-verses	264	NOTICE
Malayalam---1910-Contemporary	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Malayalam---1910-Contemporary	UNPRINTABLE	Source	count	0	NOTICE
Malayalam---1910-Contemporary	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Malayalam---1910-Contemporary	UNICODE	Summary	(-)Orginal	95	NOTICE
Malayalam---1910-Contemporary	UNICODE	Summary	(+)Aionian	109	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Basic Latin : (E)	10913	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Basic Latin : ( )	437607	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Basic Latin : (1)	30440	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Basic Latin : (:)	37435	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Malayalam : (ദ)	30179	NOTICE
Malayalam---1910-Contemporary	UNICODE	Source(-)	Malayalam : (ി)	218150	NOTICE
