# File Name: Holy-Bible---Holy-Bible---Male---Maale-Bible---Analysis.txt
# File Size: 86105       
# File Date: 12/13/2025 05:47:21
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ጌኤዦ ማፃኣፖ
# Bible Name English: Maale Bible (Ethiopic)
# Bible Language: Maale
# Bible Language English: Male
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bible Society of Ethiopia
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mdyeth
# Bible Source Year: 2008
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Male---Maale-Bible	ENCODING	Source	Holy-Bible---Male---Maale-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Male---Maale-Bible	ENCODING	Aionian	Holy-Bible---Male---Maale-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Male---Maale-Bible	BYTES	Source	bytes / chars	6856490 / 2879054 (multi-byte)	NOTICE
Male---Maale-Bible	BYTES	Aionian	bytes / chars	7067674 / 3088968 (multi-byte)	NOTICE
Male---Maale-Bible	BYTES	SourceClean	bytes / chars	6855677 / 2878241 (multi-byte)	NOTICE
Male---Maale-Bible	BYTES	AionianClean	bytes / chars	7062959 / 3085335 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Male---Maale-Bible	AIONIAN	Aionian	missing-verse	001-GEN-044-031	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	missing-verse	042-LUK-001-055	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	missing-verse	045-ROM-010-007	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	missing-verse	3	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	aionian-verses	261	NOTICE
Male---Maale-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Male---Maale-Bible	UNPRINTABLE	Source	count	0	NOTICE
Male---Maale-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Male---Maale-Bible	UNICODE	Summary	(-)Orginal	29	NOTICE
Male---Maale-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (G)	2325	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (E)	10623	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : ( )	620334	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (1)	29895	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (:)	30506	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (\n)	30506	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (2)	21218	NOTICE
Male---Maale-Bible	UNICODE	Source(-)	Basic Latin : (3)	11963	NOTICE
