# File Name: Holy-Bible---Holy-Bible---Maori---Maori-Bible---Analysis.txt
# File Size: 31628       
# File Date: 12/13/2025 05:47:34
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Te Paipera Tapu
# Bible Name English: Maori Bible
# Bible Language: Māori
# Bible Language English: Māori
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: William Colenso
# Bible Source Version: 10/23/2025
# Bible Source Link: https://bible4u.net/en/download#MAORI
# Bible Source Year: 1837
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Maori---Maori-Bible	ENCODING	Source	Holy-Bible---Maori---Maori-Bible---Source-Edition.B4U.txt	ASCII	WARNING
Maori---Maori-Bible	ENCODING	Aionian	Holy-Bible---Maori---Maori-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Maori---Maori-Bible	BYTES	Source	bytes / chars	4757382 / 4757382 (single-byte)	NOTICE
Maori---Maori-Bible	BYTES	Aionian	bytes / chars	4952987 / 4952797 (multi-byte)	NOTICE
Maori---Maori-Bible	BYTES	SourceClean	bytes / chars	4755327 / 4755327 (single-byte)	NOTICE
Maori---Maori-Bible	BYTES	AionianClean	bytes / chars	4949581 / 4949393 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Maori---Maori-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Maori---Maori-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Maori---Maori-Bible	UNPRINTABLE	Source	count	0	NOTICE
Maori---Maori-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Maori---Maori-Bible	UNICODE	Summary	(-)Orginal	68	NOTICE
Maori---Maori-Bible	UNICODE	Summary	(+)Aionian	65	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (T)	3318	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (e)	307360	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : ( )	976400	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (P)	7172	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (a)	770787	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (i)	359097	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (p)	47983	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (r)	172218	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (u)	183654	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (|)	1	NOTICE
Maori---Maori-Bible	UNICODE	Source(-)	Basic Latin : (M)	6592	NOTICE
