# File Name: Holy-Bible---Holy-Bible---Marghi-South---Marghi-South-Bible---Analysis.txt
# File Size: 25159       
# File Date: 12/13/2025 05:48:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ndǝshiguˈyar Foɗǝu Ənga Thlǝr Camaˈyar
# Bible Name English: Marghi South Bible
# Bible Language: Marghi South
# Bible Language English: Marghi South
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Initiative for the Translation and Development of African Languages
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mfm
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Marghi-South---Marghi-South-Bible	ENCODING	Source	Holy-Bible---Marghi-South---Marghi-South-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Marghi-South---Marghi-South-Bible	ENCODING	Aionian	Holy-Bible---Marghi-South---Marghi-South-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Marghi-South---Marghi-South-Bible	BYTES	Source	bytes / chars	937783 / 845273 (multi-byte)	NOTICE
Marghi-South---Marghi-South-Bible	BYTES	Aionian	bytes / chars	981631 / 888948 (multi-byte)	NOTICE
Marghi-South---Marghi-South-Bible	BYTES	SourceClean	bytes / chars	936946 / 844436 (multi-byte)	NOTICE
Marghi-South---Marghi-South-Bible	BYTES	AionianClean	bytes / chars	979428 / 886757 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	book-defined-not-exist	92	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	aionian-verses	172	NOTICE
Marghi-South---Marghi-South-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Marghi-South---Marghi-South-Bible	UNPRINTABLE	Source	count	0	NOTICE
Marghi-South---Marghi-South-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Marghi-South---Marghi-South-Bible	UNICODE	Summary	(-)Orginal	41	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Summary	(+)Aionian	45	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : (A)	3850	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : (T)	2495	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : ( )	162813	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : (1)	6150	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : (:)	5858	NOTICE
Marghi-South---Marghi-South-Bible	UNICODE	Source(-)	Basic Latin : (L)	1615	NOTICE
