# File Name: Holy-Bible---Holy-Bible---Matengo---Amatengu-Bible---Analysis.txt
# File Size: 18469       
# File Date: 12/13/2025 05:48:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Amatengu Bible
# Bible Name English: Matengo Bible
# Bible Language: Matengo
# Bible Language English: Matengo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World Southern Africa
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mgv
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Matengo---Amatengu-Bible	ENCODING	Source	Holy-Bible---Matengo---Amatengu-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Matengo---Amatengu-Bible	ENCODING	Aionian	Holy-Bible---Matengo---Amatengu-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Matengo---Amatengu-Bible	BYTES	Source	bytes / chars	1127786 / 1117956 (multi-byte)	NOTICE
Matengo---Amatengu-Bible	BYTES	Aionian	bytes / chars	1186404 / 1176386 (multi-byte)	NOTICE
Matengo---Amatengu-Bible	BYTES	SourceClean	bytes / chars	1126967 / 1117137 (multi-byte)	NOTICE
Matengo---Amatengu-Bible	BYTES	AionianClean	bytes / chars	1184223 / 1174205 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Matengo---Amatengu-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Matengo---Amatengu-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Matengo---Amatengu-Bible	UNPRINTABLE	Source	count	0	NOTICE
Matengo---Amatengu-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Matengo---Amatengu-Bible	UNICODE	Summary	(-)Orginal	45	NOTICE
Matengo---Amatengu-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (M)	4922	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (A)	4966	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (T)	2899	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : ( )	156209	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (:)	8124	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (G)	495	NOTICE
Matengo---Amatengu-Bible	UNICODE	Source(-)	Basic Latin : (a)	175004	NOTICE
