# File Name: Holy-Bible---Holy-Bible---Mbula-Bwazza---Mbula-Bwazza-Bible---Analysis.txt
# File Size: 710214      
# File Date: 12/13/2025 05:48:27
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ɓwázà Bible
# Bible Name English: Mbula-Bwazza Bible
# Bible Language: Ɓwázà
# Bible Language English: Mbula-Bwazza
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=mbu
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Mbula-Bwazza---Mbula-Bwazza-Bible	ENCODING	Source	Holy-Bible---Mbula-Bwazza---Mbula-Bwazza-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	ENCODING	Aionian	Holy-Bible---Mbula-Bwazza---Mbula-Bwazza-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Mbula-Bwazza---Mbula-Bwazza-Bible	BYTES	Source	bytes / chars	2984359 / 2650373 (multi-byte)	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	BYTES	Aionian	bytes / chars	3107478 / 2754479 (multi-byte)	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	BYTES	SourceClean	bytes / chars	2688062 / 2390200 (multi-byte)	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	BYTES	AionianClean	bytes / chars	3104969 / 2751996 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	book-defined-not-exist	62	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	aionian-verses	201	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNPRINTABLE	Source	count	0	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNICODE	Summary	(-)Orginal	107	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNICODE	Summary	(+)Aionian	113	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNICODE	Source(-)	Basic Latin : (G)	3213	NOTICE
Mbula-Bwazza---Mbula-Bwazza-Bible	UNICODE	Source(-)	Basic Latin : (E)	6167	NOTICE
