# File Name: Holy-Bible---Holy-Bible---Mori-Atas---Mori-Atas-Bible---Analysis.txt
# File Size: 16628       
# File Date: 12/13/2025 05:48:35
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Alkitab Tambee
# Bible Name English: Mori Atas Bible
# Bible Language: Upper Mori
# Bible Language English: Mori Atas
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Yayasan Kartidaya Sahabat Indonesia
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=mzq
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Mori-Atas---Mori-Atas-Bible	ENCODING	Source	Holy-Bible---Mori-Atas---Mori-Atas-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Mori-Atas---Mori-Atas-Bible	ENCODING	Aionian	Holy-Bible---Mori-Atas---Mori-Atas-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Mori-Atas---Mori-Atas-Bible	BYTES	Source	bytes / chars	188804 / 179128 (multi-byte)	NOTICE
Mori-Atas---Mori-Atas-Bible	BYTES	Aionian	bytes / chars	197033 / 187344 (multi-byte)	NOTICE
Mori-Atas---Mori-Atas-Bible	BYTES	SourceClean	bytes / chars	187979 / 178303 (multi-byte)	NOTICE
Mori-Atas---Mori-Atas-Bible	BYTES	AionianClean	bytes / chars	195744 / 186055 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	book-defined-not-exist	250	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	aionian-verses	14	NOTICE
Mori-Atas---Mori-Atas-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Mori-Atas---Mori-Atas-Bible	UNPRINTABLE	Source	count	0	NOTICE
Mori-Atas---Mori-Atas-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Mori-Atas---Mori-Atas-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Summary	(+)Aionian	34	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Source(-)	Basic Latin : (L)	1272	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Source(-)	Basic Latin : (U)	1664	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Source(-)	Basic Latin : (K)	1626	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Source(-)	Basic Latin : ( )	26524	NOTICE
Mori-Atas---Mori-Atas-Bible	UNICODE	Source(-)	Basic Latin : (1)	954	NOTICE
