# File Name: Holy-Bible---Holy-Bible---Mum---Mum-Bible---Analysis.txt
# File Size: 32122       
# File Date: 12/13/2025 05:48:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kuyu Avi Matyu Yɨhimbɨvɨrami
# Bible Name English: Mum Bible
# Bible Language: Katiati
# Bible Language English: Mum
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneer Bible Translators
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=kqa
# Bible Source Year: 2017
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Mum---Mum-Bible	ENCODING	Source	Holy-Bible---Mum---Mum-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Mum---Mum-Bible	ENCODING	Aionian	Holy-Bible---Mum---Mum-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Mum---Mum-Bible	BYTES	Source	bytes / chars	233548 / 201628 (multi-byte)	NOTICE
Mum---Mum-Bible	BYTES	Aionian	bytes / chars	241120 / 209182 (multi-byte)	NOTICE
Mum---Mum-Bible	BYTES	SourceClean	bytes / chars	232747 / 200827 (multi-byte)	NOTICE
Mum---Mum-Bible	BYTES	AionianClean	bytes / chars	239849 / 207914 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Mum---Mum-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	book-defined-not-exist	242	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	aionian-verses	22	NOTICE
Mum---Mum-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Mum---Mum-Bible	UNPRINTABLE	Source	count	0	NOTICE
Mum---Mum-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Mum---Mum-Bible	UNICODE	Summary	(-)Orginal	20	NOTICE
Mum---Mum-Bible	UNICODE	Summary	(+)Aionian	24	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : ( )	25354	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (1)	869	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (:)	1046	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (a)	32290	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (n)	11322	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (d)	5869	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (i)	6880	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (s)	3105	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (g)	2791	NOTICE
Mum---Mum-Bible	UNICODE	Source(-)	Basic Latin : (e)	329	NOTICE
