# File Name: Holy-Bible---Holy-Bible---Munda---Munda-Bible---Analysis.txt
# File Size: 46457       
# File Date: 12/13/2025 05:48:39
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ପାର୍‌ମେଶ୍ୱାର୍‌ଆଃ ଜୀନିଦ୍‌ ବାଚାନ୍‌
# Bible Name English: Munda New Testament
# Bible Language: ମୁଣ୍ଡାରୀ
# Bible Language English: Munda
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=unx
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Munda---Munda-Bible	ENCODING	Source	Holy-Bible---Munda---Munda-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Munda---Munda-Bible	ENCODING	Aionian	Holy-Bible---Munda---Munda-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Munda---Munda-Bible	BYTES	Source	bytes / chars	3379808 / 1285400 (multi-byte)	NOTICE
Munda---Munda-Bible	BYTES	Aionian	bytes / chars	3437915 / 1342845 (multi-byte)	NOTICE
Munda---Munda-Bible	BYTES	SourceClean	bytes / chars	3379010 / 1284602 (multi-byte)	NOTICE
Munda---Munda-Bible	BYTES	AionianClean	bytes / chars	3435257 / 1340661 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Munda---Munda-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Munda---Munda-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Munda---Munda-Bible	UNPRINTABLE	Source	count	0	NOTICE
Munda---Munda-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Munda---Munda-Bible	UNICODE	Summary	(-)Orginal	27	NOTICE
Munda---Munda-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : ( )	159373	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (1)	8050	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (:)	7986	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (,)	11340	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7958	NOTICE
Munda---Munda-Bible	UNICODE	Source(-)	Basic Latin : (2)	5145	NOTICE
