# File Name: Holy-Bible---Holy-Bible---Mwaghavul---Mwaghavul-Bible---Analysis.txt
# File Size: 153565      
# File Date: 10/24/2025 07:15:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Manji Yiljep
# Bible Name English: Mwaghavul Sura Bible
# Bible Language: Sura
# Bible Language English: Mwaghavul
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Initiative for the Translation and Development of African Languages
# Bible Source Version: 9/10/2025
# Bible Source Link: https://ebible.org/details.php?id=sur
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Mwaghavul---Mwaghavul-Bible	ENCODING	Source	Holy-Bible---Mwaghavul---Mwaghavul-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Mwaghavul---Mwaghavul-Bible	ENCODING	Aionian	Holy-Bible---Mwaghavul---Mwaghavul-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Mwaghavul---Mwaghavul-Bible	BYTES	Source	bytes / chars	686546 / 625086 (multi-byte)	NOTICE
Mwaghavul---Mwaghavul-Bible	BYTES	Aionian	bytes / chars	717084 / 652150 (multi-byte)	NOTICE
Mwaghavul---Mwaghavul-Bible	BYTES	SourceClean	bytes / chars	640131 / 582543 (multi-byte)	NOTICE
Mwaghavul---Mwaghavul-Bible	BYTES	AionianClean	bytes / chars	715175 / 650242 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	book-defined-not-exist	177	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	aionian-verses	87	NOTICE
Mwaghavul---Mwaghavul-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Mwaghavul---Mwaghavul-Bible	UNPRINTABLE	Source	count	0	NOTICE
Mwaghavul---Mwaghavul-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Mwaghavul---Mwaghavul-Bible	UNICODE	Summary	(-)Orginal	83	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Summary	(+)Aionian	89	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : (M)	2061	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : (A)	2863	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : (R)	1326	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : ( )	122931	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : (1)	4150	NOTICE
Mwaghavul---Mwaghavul-Bible	UNICODE	Source(-)	Basic Latin : (:)	3811	NOTICE
