# File Name: Holy-Bible---Holy-Bible---Mwera---Mwera-Bible---Analysis.txt
# File Size: 22204       
# File Date: 12/13/2025 05:48:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Malagano ga Ambi
# Bible Name English: Mwera Bible
# Bible Language: Mwera
# Bible Language English: Mwera
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneers.org and The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=mwe
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Mwera---Mwera-Bible	ENCODING	Source	Holy-Bible---Mwera---Mwera-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Mwera---Mwera-Bible	ENCODING	Aionian	Holy-Bible---Mwera---Mwera-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Mwera---Mwera-Bible	BYTES	Source	bytes / chars	1204724 / 1195426 (multi-byte)	NOTICE
Mwera---Mwera-Bible	BYTES	Aionian	bytes / chars	1263401 / 1253915 (multi-byte)	NOTICE
Mwera---Mwera-Bible	BYTES	SourceClean	bytes / chars	1203915 / 1194617 (multi-byte)	NOTICE
Mwera---Mwera-Bible	BYTES	AionianClean	bytes / chars	1261184 / 1251698 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Mwera---Mwera-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Mwera---Mwera-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Mwera---Mwera-Bible	UNPRINTABLE	Source	count	0	NOTICE
Mwera---Mwera-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Mwera---Mwera-Bible	UNICODE	Summary	(-)Orginal	45	NOTICE
Mwera---Mwera-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (M)	5031	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (A)	4986	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (T)	2842	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : ( )	147600	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (1)	8072	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (:)	7960	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (h)	65721	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (e)	61916	NOTICE
Mwera---Mwera-Bible	UNICODE	Source(-)	Basic Latin : (s)	22790	NOTICE
