# File Name: Holy-Bible---Holy-Bible---Myanmar---Burmese-Common-Bible---Analysis.txt
# File Size: 269804      
# File Date: 12/13/2025 05:48:54
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ခေတ်သုံးမြန်မာသမ္မာကျမ်း
# Bible Name English: Burmese Common Language Bible
# Bible Language: မြန်မာဘာသာ
# Bible Language English: Myanmar Burmese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Bible Society of Myanmar
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=mya
# Bible Source Year: 2005
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Myanmar---Burmese-Common-Bible	ENCODING	Source	Holy-Bible---Myanmar---Burmese-Common-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Myanmar---Burmese-Common-Bible	ENCODING	Aionian	Holy-Bible---Myanmar---Burmese-Common-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Myanmar---Burmese-Common-Bible	BYTES	Source	bytes / chars	17142311 / 6066031 (multi-byte)	NOTICE
Myanmar---Burmese-Common-Bible	BYTES	Aionian	bytes / chars	17348016 / 6270674 (multi-byte)	NOTICE
Myanmar---Burmese-Common-Bible	BYTES	SourceClean	bytes / chars	17141510 / 6065230 (multi-byte)	NOTICE
Myanmar---Burmese-Common-Bible	BYTES	AionianClean	bytes / chars	17343474 / 6267176 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Myanmar---Burmese-Common-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Myanmar---Burmese-Common-Bible	UNPRINTABLE	Source	count	0	NOTICE
Myanmar---Burmese-Common-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Myanmar---Burmese-Common-Bible	UNICODE	Summary	(-)Orginal	67	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Summary	(+)Aionian	84	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : (G)	2276	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : (E)	10407	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : (N)	3268	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : ( )	235897	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : (1)	29189	NOTICE
Myanmar---Burmese-Common-Bible	UNICODE	Source(-)	Basic Latin : (:)	29796	NOTICE
