# File Name: Holy-Bible---Holy-Bible---Myanmar---Burmese-Judson---Analysis.txt
# File Size: 54316       
# File Date: 12/13/2025 05:49:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: မြန်မာယုဒသန်သမ္မာကျမ်း
# Bible Name English: Myanmar Burmese Judson Text
# Bible Language: မြန်မာဘာသာ
# Bible Language English: Myanmar Burmese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Adoniram Judson, Jr.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=myajvb
# Bible Source Year: 1835
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Myanmar---Burmese-Judson	ENCODING	Source	Holy-Bible---Myanmar---Burmese-Judson---Source-Edition.VPL.txt	UTF-8	NOTICE
Myanmar---Burmese-Judson	ENCODING	Aionian	Holy-Bible---Myanmar---Burmese-Judson---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Myanmar---Burmese-Judson	BYTES	Source	bytes / chars	12338488 / 4711838 (multi-byte)	NOTICE
Myanmar---Burmese-Judson	BYTES	Aionian	bytes / chars	12551583 / 4923707 (multi-byte)	NOTICE
Myanmar---Burmese-Judson	BYTES	SourceClean	bytes / chars	12337693 / 4711043 (multi-byte)	NOTICE
Myanmar---Burmese-Judson	BYTES	AionianClean	bytes / chars	12547056 / 4920220 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Myanmar---Burmese-Judson	AIONIAN	Aionian	book-not-exist	0	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	missing-chapter	0	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	missing-verse	0	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	aionian-verses	264	NOTICE
Myanmar---Burmese-Judson	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Myanmar---Burmese-Judson	UNPRINTABLE	Source	count	0	NOTICE
Myanmar---Burmese-Judson	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Myanmar---Burmese-Judson	UNICODE	Summary	(-)Orginal	38	NOTICE
Myanmar---Burmese-Judson	UNICODE	Summary	(+)Aionian	64	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (E)	10914	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (N)	3679	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : ( )	638586	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (1)	30452	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (:)	31102	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (\n)	31102	NOTICE
Myanmar---Burmese-Judson	UNICODE	Source(-)	Basic Latin : (2)	21670	NOTICE
