# File Name: Holy-Bible---Holy-Bible---Naga-Pidgin---Nagamese-Bible---Analysis.txt
# File Size: 25304       
# File Date: 12/13/2025 05:49:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Indian Standard Version Nagamese
# Bible Name English: Nagamese Bible
# Bible Language: Nagamiz
# Bible Language English: Naga, Pidgin
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions Pvt. Ltd.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=nag
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Naga-Pidgin---Nagamese-Bible	ENCODING	Source	Holy-Bible---Naga-Pidgin---Nagamese-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Naga-Pidgin---Nagamese-Bible	ENCODING	Aionian	Holy-Bible---Naga-Pidgin---Nagamese-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Naga-Pidgin---Nagamese-Bible	BYTES	Source	bytes / chars	1201062 / 1192054 (multi-byte)	NOTICE
Naga-Pidgin---Nagamese-Bible	BYTES	Aionian	bytes / chars	1259825 / 1250629 (multi-byte)	NOTICE
Naga-Pidgin---Nagamese-Bible	BYTES	SourceClean	bytes / chars	1200235 / 1191227 (multi-byte)	NOTICE
Naga-Pidgin---Nagamese-Bible	BYTES	AionianClean	bytes / chars	1257604 / 1248408 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	book-not-exist	64	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Naga-Pidgin---Nagamese-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Naga-Pidgin---Nagamese-Bible	UNPRINTABLE	Source	count	0	NOTICE
Naga-Pidgin---Nagamese-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Naga-Pidgin---Nagamese-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Source(-)	Basic Latin : (M)	4415	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Source(-)	Basic Latin : (A)	6514	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Source(-)	Basic Latin : (T)	7060	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Source(-)	Basic Latin : ( )	207156	NOTICE
Naga-Pidgin---Nagamese-Bible	UNICODE	Source(-)	Basic Latin : (1)	8059	NOTICE
