# File Name: Holy-Bible---Holy-Bible---Ndebele---Ndebele-Bible---Analysis.txt
# File Size: 28056       
# File Date: 12/13/2025 05:50:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ndebele Bible
# Bible Name English: Ndebele Bible
# Bible Language: Ndebele
# Bible Language English: Ndebele
# Bible Copyright Format: GNU Free Documentation License, 2018-2025
# Bible Copyright Text: GNU Free Documentation License
# Bible Source: A work in progress at Crosswire.org
# Bible Source Version: 10/23/2019
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Ndebele
# Bible Source Year: 2009
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ndebele---Ndebele-Bible	ENCODING	Source	Holy-Bible---Ndebele---Ndebele-Bible---Source-Edition.SWORD.txt	ASCII	WARNING
Ndebele---Ndebele-Bible	ENCODING	Aionian	Holy-Bible---Ndebele---Ndebele-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ndebele---Ndebele-Bible	BYTES	Source	bytes / chars	5132547 / 5132547 (single-byte)	NOTICE
Ndebele---Ndebele-Bible	BYTES	Aionian	bytes / chars	4347406 / 4347218 (multi-byte)	NOTICE
Ndebele---Ndebele-Bible	BYTES	SourceClean	bytes / chars	4298142 / 4298142 (single-byte)	NOTICE
Ndebele---Ndebele-Bible	BYTES	AionianClean	bytes / chars	4343792 / 4343604 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ndebele---Ndebele-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Ndebele---Ndebele-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ndebele---Ndebele-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ndebele---Ndebele-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ndebele---Ndebele-Bible	UNICODE	Summary	(-)Orginal	68	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Summary	(+)Aionian	69	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : ([)	2	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : ( )	476242	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (T)	1211	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (e)	316229	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (s)	144784	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (t)	81448	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (a)	476132	NOTICE
Ndebele---Ndebele-Bible	UNICODE	Source(-)	Basic Latin : (m)	107178	NOTICE
