# File Name: Holy-Bible---Holy-Bible---Ndengereko---Ndengereko-Bible---Analysis.txt
# File Size: 38056       
# File Date: 12/13/2025 05:50:18
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kindengereko Bible
# Bible Name English: Ndengereko Bible
# Bible Language: Kindengereko
# Bible Language English: Ndengereko
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ndg
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ndengereko---Ndengereko-Bible	ENCODING	Source	Holy-Bible---Ndengereko---Ndengereko-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Ndengereko---Ndengereko-Bible	ENCODING	Aionian	Holy-Bible---Ndengereko---Ndengereko-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ndengereko---Ndengereko-Bible	BYTES	Source	bytes / chars	1004098 / 997740 (multi-byte)	NOTICE
Ndengereko---Ndengereko-Bible	BYTES	Aionian	bytes / chars	1062831 / 1056285 (multi-byte)	NOTICE
Ndengereko---Ndengereko-Bible	BYTES	SourceClean	bytes / chars	1003280 / 996922 (multi-byte)	NOTICE
Ndengereko---Ndengereko-Bible	BYTES	AionianClean	bytes / chars	1060643 / 1054097 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Ndengereko---Ndengereko-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ndengereko---Ndengereko-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ndengereko---Ndengereko-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ndengereko---Ndengereko-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Summary	(+)Aionian	57	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (M)	4384	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (A)	4484	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (T)	3200	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : ( )	148097	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (1)	8070	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (:)	8069	NOTICE
Ndengereko---Ndengereko-Bible	UNICODE	Source(-)	Basic Latin : (K)	3648	NOTICE
