# File Name: Holy-Bible---Holy-Bible---Ndwewe---Ndwewe-Bible---Analysis.txt
# File Size: 17462       
# File Date: 12/13/2025 05:50:20
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ruvuma Bible
# Bible Name English: Ndwewe Bible
# Bible Language: Ndwewe
# Bible Language English: Ndwewe
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World Southern Africa
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=nww
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Ndwewe---Ndwewe-Bible	ENCODING	Source	Holy-Bible---Ndwewe---Ndwewe-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Ndwewe---Ndwewe-Bible	ENCODING	Aionian	Holy-Bible---Ndwewe---Ndwewe-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Ndwewe---Ndwewe-Bible	BYTES	Source	bytes / chars	1280558 / 1270626 (multi-byte)	NOTICE
Ndwewe---Ndwewe-Bible	BYTES	Aionian	bytes / chars	1339208 / 1329088 (multi-byte)	NOTICE
Ndwewe---Ndwewe-Bible	BYTES	SourceClean	bytes / chars	1279745 / 1269813 (multi-byte)	NOTICE
Ndwewe---Ndwewe-Bible	BYTES	AionianClean	bytes / chars	1336997 / 1326877 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Ndwewe---Ndwewe-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Ndwewe---Ndwewe-Bible	UNPRINTABLE	Source	count	0	NOTICE
Ndwewe---Ndwewe-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Ndwewe---Ndwewe-Bible	UNICODE	Summary	(-)Orginal	46	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Summary	(+)Aionian	53	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (M)	5376	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (A)	4613	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (T)	3128	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : ( )	164890	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (1)	8052	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (:)	7964	NOTICE
Ndwewe---Ndwewe-Bible	UNICODE	Source(-)	Basic Latin : (g)	52845	NOTICE
