# File Name: Holy-Bible---Holy-Bible---Nend---Mark---Analysis.txt
# File Size: 22743       
# File Date: 12/13/2025 05:50:22
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: MAK Yakŋ Ohɨrand Ya Imbɨr Makɨv Mpamar
# Bible Name English: Mark in Nend
# Bible Language: Nend
# Bible Language English: Nend
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bible Society of Papua New Guinea
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=anh
# Bible Source Year: 2004
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Nend---Mark	ENCODING	Source	Holy-Bible---Nend---Mark---Source-Edition.VPL.txt	UTF-8	NOTICE
Nend---Mark	ENCODING	Aionian	Holy-Bible---Nend---Mark---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Nend---Mark	BYTES	Source	bytes / chars	146115 / 128191 (multi-byte)	NOTICE
Nend---Mark	BYTES	Aionian	bytes / chars	151099 / 133164 (multi-byte)	NOTICE
Nend---Mark	BYTES	SourceClean	bytes / chars	145322 / 127398 (multi-byte)	NOTICE
Nend---Mark	BYTES	AionianClean	bytes / chars	149817 / 131886 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Nend---Mark	AIONIAN	Aionian	book-not-exist	256	NOTICE
Nend---Mark	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Nend---Mark	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Nend---Mark	AIONIAN	Aionian	missing-chapter	0	NOTICE
Nend---Mark	AIONIAN	Aionian	missing-verse	0	NOTICE
Nend---Mark	AIONIAN	Aionian	aionian-verses	8	NOTICE
Nend---Mark	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Nend---Mark	UNPRINTABLE	Source	count	0	NOTICE
Nend---Mark	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Nend---Mark	UNICODE	Summary	(-)Orginal	38	NOTICE
Nend---Mark	UNICODE	Summary	(+)Aionian	39	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (M)	1118	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : ( )	19209	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (1)	598	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (:)	640	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (b)	2392	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (a)	17783	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (n)	7862	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (i)	2648	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (m)	9228	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (r)	7943	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (s)	2172	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (d)	2788	NOTICE
Nend---Mark	UNICODE	Source(-)	Basic Latin : (,)	751	NOTICE
