# File Name: Holy-Bible---Holy-Bible---Nepali---Nepali-Bible---Analysis.txt
# File Size: 237456      
# File Date: 12/13/2025 05:50:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: पवित्र बाइबल
# Bible Name English: Nepali Bible
# Bible Language: नेपाली
# Bible Language English: Nepali
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Door43 World Missions Community
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=npiulb
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Nepali---Nepali-Bible	ENCODING	Source	Holy-Bible---Nepali---Nepali-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Nepali---Nepali-Bible	ENCODING	Aionian	Holy-Bible---Nepali---Nepali-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Nepali---Nepali-Bible	BYTES	Source	bytes / chars	10899193 / 4280897 (multi-byte)	NOTICE
Nepali---Nepali-Bible	BYTES	Aionian	bytes / chars	11111647 / 4492331 (multi-byte)	NOTICE
Nepali---Nepali-Bible	BYTES	SourceClean	bytes / chars	10898374 / 4280078 (multi-byte)	NOTICE
Nepali---Nepali-Bible	BYTES	AionianClean	bytes / chars	11107366 / 4488898 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Nepali---Nepali-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Nepali---Nepali-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Nepali---Nepali-Bible	UNPRINTABLE	Source	count	0	NOTICE
Nepali---Nepali-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Nepali---Nepali-Bible	UNICODE	Summary	(-)Orginal	68	NOTICE
Nepali---Nepali-Bible	UNICODE	Summary	(+)Aionian	86	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Basic Latin : (E)	10915	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Basic Latin : ( )	663818	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Basic Latin : (1)	30446	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Basic Latin : (:)	31384	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Devanagari : (द)	53078	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Devanagari : (ि)	153442	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Devanagari : (ा)	315743	NOTICE
Nepali---Nepali-Bible	UNICODE	Source(-)	Devanagari : (प)	73538	NOTICE
