# File Name: Holy-Bible---Holy-Bible---Nkangala---Nkangala-Bible---Analysis.txt
# File Size: 34068       
# File Date: 12/13/2025 05:51:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Nkangala Bible
# Bible Name English: Nkangala Bible
# Bible Language: Nkangala
# Bible Language English: Nkangala
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=nkn
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Nkangala---Nkangala-Bible	ENCODING	Source	Holy-Bible---Nkangala---Nkangala-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Nkangala---Nkangala-Bible	ENCODING	Aionian	Holy-Bible---Nkangala---Nkangala-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Nkangala---Nkangala-Bible	BYTES	Source	bytes / chars	973508 / 964632 (multi-byte)	NOTICE
Nkangala---Nkangala-Bible	BYTES	Aionian	bytes / chars	1022070 / 1013070 (multi-byte)	NOTICE
Nkangala---Nkangala-Bible	BYTES	SourceClean	bytes / chars	972687 / 963811 (multi-byte)	NOTICE
Nkangala---Nkangala-Bible	BYTES	AionianClean	bytes / chars	1020228 / 1011228 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Nkangala---Nkangala-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	book-defined-not-exist	133	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	aionian-verses	131	NOTICE
Nkangala---Nkangala-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Nkangala---Nkangala-Bible	UNPRINTABLE	Source	count	0	NOTICE
Nkangala---Nkangala-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Nkangala---Nkangala-Bible	UNICODE	Summary	(-)Orginal	41	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Summary	(+)Aionian	46	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (M)	4246	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (A)	3419	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (T)	3136	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : ( )	136096	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (1)	6663	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (:)	6820	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (i)	69934	NOTICE
Nkangala---Nkangala-Bible	UNICODE	Source(-)	Basic Latin : (u)	85708	NOTICE
