# File Name: Holy-Bible---Holy-Bible---Norwegian---Living-Bible---Analysis.txt
# File Size: 87134       
# File Date: 12/13/2025 05:51:11
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Open En Levende Bok
# Bible Name English: Norwegian Living New Testament
# Bible Language: Norsk Bokmål
# Bible Language English: Norwegian Bokmal
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=noblb
# Bible Source Year: 1978, 1988, 2005
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Norwegian---Living-Bible	ENCODING	Source	Holy-Bible---Norwegian---Living-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Norwegian---Living-Bible	ENCODING	Aionian	Holy-Bible---Norwegian---Living-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Norwegian---Living-Bible	BYTES	Source	bytes / chars	1206084 / 1171146 (multi-byte)	NOTICE
Norwegian---Living-Bible	BYTES	Aionian	bytes / chars	1261812 / 1226865 (multi-byte)	NOTICE
Norwegian---Living-Bible	BYTES	SourceClean	bytes / chars	1205246 / 1170308 (multi-byte)	NOTICE
Norwegian---Living-Bible	BYTES	AionianClean	bytes / chars	1259442 / 1224496 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Norwegian---Living-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Norwegian---Living-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Norwegian---Living-Bible	UNPRINTABLE	Source	count	0	NOTICE
Norwegian---Living-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Norwegian---Living-Bible	UNICODE	Summary	(-)Orginal	53	NOTICE
Norwegian---Living-Bible	UNICODE	Summary	(+)Aionian	58	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (M)	3724	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (A)	3663	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (T)	2980	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : ( )	217832	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (1)	7929	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (:)	9783	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (D)	4848	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (e)	144231	NOTICE
Norwegian---Living-Bible	UNICODE	Source(-)	Basic Latin : (t)	61910	NOTICE
