# File Name: Holy-Bible---Holy-Bible---Norwegian---Norwegian-Bible---Analysis.txt
# File Size: 30345       
# File Date: 12/13/2025 05:51:16
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Norsk Bibel
# Bible Name English: Norwegian Bible
# Bible Language: Norsk Bokmål
# Bible Language English: Norwegian Bokmal
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Norwegian Bible Society
# Bible Source Version: 7/20/2015
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=Norsk
# Bible Source Year: 1930
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Norwegian---Norwegian-Bible	ENCODING	Source	Holy-Bible---Norwegian---Norwegian-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Norwegian---Norwegian-Bible	ENCODING	Aionian	Holy-Bible---Norwegian---Norwegian-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Norwegian---Norwegian-Bible	BYTES	Source	bytes / chars	4209914 / 4131651 (multi-byte)	NOTICE
Norwegian---Norwegian-Bible	BYTES	Aionian	bytes / chars	4279865 / 4201511 (multi-byte)	NOTICE
Norwegian---Norwegian-Bible	BYTES	SourceClean	bytes / chars	4206825 / 4128562 (multi-byte)	NOTICE
Norwegian---Norwegian-Bible	BYTES	AionianClean	bytes / chars	4276302 / 4197952 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Norwegian---Norwegian-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Norwegian---Norwegian-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Norwegian---Norwegian-Bible	UNPRINTABLE	Source	count	0	NOTICE
Norwegian---Norwegian-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Norwegian---Norwegian-Bible	UNICODE	Summary	(-)Orginal	72	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Summary	(+)Aionian	75	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (G)	7730	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (e)	465873	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (n)	218551	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (s)	200171	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (i)	165871	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : ( )	756455	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (0)	5430	NOTICE
Norwegian---Norwegian-Bible	UNICODE	Source(-)	Basic Latin : (:)	39317	NOTICE
