# File Name: Holy-Bible---Holy-Bible---Oriya---Oriya-Bible---Analysis.txt
# File Size: 43140       
# File Date: 12/13/2025 05:51:42
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ଓଡିଆ ବାଇବେଲ
# Bible Name English: Oriya Bible
# Bible Language: ଓଡ଼ିଆ
# Bible Language English: Oriya
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Bridge Connectivity Solutions
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ory
# Bible Source Year: 2017, 2019, 2021
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Oriya---Oriya-Bible	ENCODING	Source	Holy-Bible---Oriya---Oriya-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Oriya---Oriya-Bible	ENCODING	Aionian	Holy-Bible---Oriya---Oriya-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Oriya---Oriya-Bible	BYTES	Source	bytes / chars	11008342 / 4321750 (multi-byte)	NOTICE
Oriya---Oriya-Bible	BYTES	Aionian	bytes / chars	11223910 / 4535914 (multi-byte)	NOTICE
Oriya---Oriya-Bible	BYTES	SourceClean	bytes / chars	11007533 / 4320941 (multi-byte)	NOTICE
Oriya---Oriya-Bible	BYTES	AionianClean	bytes / chars	11219060 / 4532284 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Oriya---Oriya-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Oriya---Oriya-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Oriya---Oriya-Bible	UNPRINTABLE	Source	count	0	NOTICE
Oriya---Oriya-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Oriya---Oriya-Bible	UNICODE	Summary	(-)Orginal	33	NOTICE
Oriya---Oriya-Bible	UNICODE	Summary	(+)Aionian	58	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (E)	10915	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : ( )	641240	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (1)	30447	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (:)	31195	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Devanagari : (।)	27066	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31104	NOTICE
Oriya---Oriya-Bible	UNICODE	Source(-)	Basic Latin : (2)	21666	NOTICE
