# File Name: Holy-Bible---Holy-Bible---Oromo---New-World---Analysis.txt
# File Size: 149599      
# File Date: 12/13/2025 05:51:58
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Hiikkaa Ammayyaa Banamaa Haaraa
# Bible Name English: New Oromo Contemporary Version
# Bible Language: Afaan Oromoo
# Bible Language English: Oromo, West Central
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0, International
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/12/2025
# Bible Source Link: https://ebible.org/details.php?id=gaz
# Bible Source Year: 2009, 2020, 2022
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Oromo---New-World	ENCODING	Source	Holy-Bible---Oromo---New-World---Source-Edition.VPL.txt	UTF-8	NOTICE
Oromo---New-World	ENCODING	Aionian	Holy-Bible---Oromo---New-World---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Oromo---New-World	BYTES	Source	bytes / chars	4690196 / 4619911 (multi-byte)	NOTICE
Oromo---New-World	BYTES	Aionian	bytes / chars	4902272 / 4833367 (multi-byte)	NOTICE
Oromo---New-World	BYTES	SourceClean	bytes / chars	4689376 / 4619091 (multi-byte)	NOTICE
Oromo---New-World	BYTES	AionianClean	bytes / chars	4898558 / 4829661 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Oromo---New-World	AIONIAN	Aionian	book-not-exist	0	NOTICE
Oromo---New-World	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Oromo---New-World	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Oromo---New-World	AIONIAN	Aionian	missing-chapter	0	NOTICE
Oromo---New-World	AIONIAN	Aionian	missing-verse	0	NOTICE
Oromo---New-World	AIONIAN	Aionian	aionian-verses	264	NOTICE
Oromo---New-World	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Oromo---New-World	UNPRINTABLE	Source	count	0	NOTICE
Oromo---New-World	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Oromo---New-World	UNICODE	Summary	(-)Orginal	47	NOTICE
Oromo---New-World	UNICODE	Summary	(+)Aionian	52	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (G)	7307	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : ( )	626119	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (1)	30595	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (:)	32837	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (J)	5308	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (a)	824715	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (l)	83449	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (q)	39248	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (b)	89709	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (t)	173728	NOTICE
Oromo---New-World	UNICODE	Source(-)	Basic Latin : (i)	404199	NOTICE
