# File Name: Holy-Bible---Holy-Bible---Oyda---Oyda-Bible-Latin---Analysis.txt
# File Size: 1769628     
# File Date: 12/13/2025 05:52:24
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Kille Caaqo
# Bible Name English: Oyda Bible (Latin)
# Bible Language: Oyda
# Bible Language English: Oyda
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=oydl
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Oyda---Oyda-Bible-Latin	ENCODING	Source	Holy-Bible---Oyda---Oyda-Bible-Latin---Source-Edition.VPL.txt	UTF-8	NOTICE
Oyda---Oyda-Bible-Latin	ENCODING	Aionian	Holy-Bible---Oyda---Oyda-Bible-Latin---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Oyda---Oyda-Bible-Latin	BYTES	Source	bytes / chars	1002087 / 996241 (multi-byte)	NOTICE
Oyda---Oyda-Bible-Latin	BYTES	Aionian	bytes / chars	1060627 / 1054593 (multi-byte)	NOTICE
Oyda---Oyda-Bible-Latin	BYTES	SourceClean	bytes / chars	1001268 / 995422 (multi-byte)	NOTICE
Oyda---Oyda-Bible-Latin	BYTES	AionianClean	bytes / chars	1058377 / 1052343 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	missing-verse	043-JOH-003-015	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	missing-verse	044-ACT-015-018	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	missing-verse	049-EPH-001-021	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	book-not-exist	0	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	missing-chapter	0	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	missing-verse	3	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	aionian-verses	197	NOTICE
Oyda---Oyda-Bible-Latin	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Oyda---Oyda-Bible-Latin	UNPRINTABLE	Source	count	0	NOTICE
Oyda---Oyda-Bible-Latin	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Oyda---Oyda-Bible-Latin	UNICODE	Summary	(-)Orginal	49	NOTICE
Oyda---Oyda-Bible-Latin	UNICODE	Summary	(+)Aionian	53	NOTICE
Oyda---Oyda-Bible-Latin	UNICODE	Source(-)	Basic Latin : (M)	3335	NOTICE
Oyda---Oyda-Bible-Latin	UNICODE	Source(-)	Basic Latin : (A)	5165	NOTICE
Oyda---Oyda-Bible-Latin	UNICODE	Source(-)	Basic Latin : (T)	3823	NOTICE
Oyda---Oyda-Bible-Latin	UNICODE	Source(-)	Basic Latin : ( )	129421	NOTICE
