# File Name: Holy-Bible---Holy-Bible---Oyda---Oyde-Bible-Ethiopic---Analysis.txt
# File Size: 86015       
# File Date: 12/13/2025 05:52:28
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ክለ ጫቆ
# Bible Name English: Oyda Bible (Ethiopic)
# Bible Language: Oyda
# Bible Language English: Oyda
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=oyde
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Oyda---Oyde-Bible-Ethiopic	ENCODING	Source	Holy-Bible---Oyda---Oyde-Bible-Ethiopic---Source-Edition.VPL.txt	UTF-8	NOTICE
Oyda---Oyde-Bible-Ethiopic	ENCODING	Aionian	Holy-Bible---Oyda---Oyde-Bible-Ethiopic---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Oyda---Oyde-Bible-Ethiopic	BYTES	Source	bytes / chars	1356936 / 584702 (multi-byte)	NOTICE
Oyda---Oyde-Bible-Ethiopic	BYTES	Aionian	bytes / chars	1415127 / 642859 (multi-byte)	NOTICE
Oyda---Oyde-Bible-Ethiopic	BYTES	SourceClean	bytes / chars	1356111 / 583877 (multi-byte)	NOTICE
Oyda---Oyde-Bible-Ethiopic	BYTES	AionianClean	bytes / chars	1412771 / 640745 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	missing-verse	043-JOH-003-015	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	missing-verse	044-ACT-015-018	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	missing-verse	049-EPH-001-021	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	book-not-exist	0	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	missing-chapter	0	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	missing-verse	3	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	aionian-verses	197	NOTICE
Oyda---Oyde-Bible-Ethiopic	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Oyda---Oyde-Bible-Ethiopic	UNPRINTABLE	Source	MAT 3:4 ዋሐንሳ ግማለ እስንፓ ኦችንትደ አፉላ ማአነ። ፋ ቃዝንተን ዳፈ ሳቀ ዳንጫነ። ኤ ሙእዘ ካꬅታን ቦለን ደከራ ሽዳ።	()	WARN
Oyda---Oyde-Bible-Ethiopic	UNPRINTABLE	Source	MAT 5:4 ዬክዙንꬅ አንጅንትዱንꬃና፥ ኡን ምንꬅ ደንጎዳ።	()	WARN
