# File Name: Holy-Bible---Holy-Bible---Padoe---Padoe-Bible---Analysis.txt
# File Size: 15298       
# File Date: 12/13/2025 05:52:30
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Akitab Padoe
# Bible Name English: Padoe Bible
# Bible Language: Padoe
# Bible Language English: Padoe
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Yayasan Kartidaya Sahabat Indonesia
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=pdo
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Padoe---Padoe-Bible	ENCODING	Source	Holy-Bible---Padoe---Padoe-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Padoe---Padoe-Bible	ENCODING	Aionian	Holy-Bible---Padoe---Padoe-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Padoe---Padoe-Bible	BYTES	Source	bytes / chars	174840 / 166414 (multi-byte)	NOTICE
Padoe---Padoe-Bible	BYTES	Aionian	bytes / chars	183050 / 174611 (multi-byte)	NOTICE
Padoe---Padoe-Bible	BYTES	SourceClean	bytes / chars	174031 / 165605 (multi-byte)	NOTICE
Padoe---Padoe-Bible	BYTES	AionianClean	bytes / chars	181784 / 173345 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Padoe---Padoe-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	book-defined-not-exist	250	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	aionian-verses	14	NOTICE
Padoe---Padoe-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Padoe---Padoe-Bible	UNPRINTABLE	Source	count	0	NOTICE
Padoe---Padoe-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Padoe---Padoe-Bible	UNICODE	Summary	(-)Orginal	31	NOTICE
Padoe---Padoe-Bible	UNICODE	Summary	(+)Aionian	33	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (L)	1284	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (U)	1692	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (K)	1686	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : ( )	24760	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (1)	953	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (:)	1150	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (e)	9792	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (o)	17427	NOTICE
Padoe---Padoe-Bible	UNICODE	Source(-)	Basic Latin : (i)	10553	NOTICE
