# File Name: Holy-Bible---Holy-Bible---Palaung-Shwe---Shwe-Palaung-Bible---Analysis.txt
# File Size: 22567       
# File Date: 12/13/2025 05:52:31
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ပလောင်ဘာသာ
# Bible Name English: Shwe Palaung Bible
# Bible Language: ပလောင်ဘာသာ
# Bible Language English: Palaung, Shwe
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=pll
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Palaung-Shwe---Shwe-Palaung-Bible	ENCODING	Source	Holy-Bible---Palaung-Shwe---Shwe-Palaung-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	ENCODING	Aionian	Holy-Bible---Palaung-Shwe---Shwe-Palaung-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Palaung-Shwe---Shwe-Palaung-Bible	BYTES	Source	bytes / chars	263082 / 96390 (multi-byte)	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	BYTES	Aionian	bytes / chars	268303 / 101570 (multi-byte)	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	BYTES	SourceClean	bytes / chars	262245 / 95553 (multi-byte)	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	BYTES	AionianClean	bytes / chars	266958 / 100273 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	book-defined-not-exist	256	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	aionian-verses	8	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Palaung-Shwe---Shwe-Palaung-Bible	UNPRINTABLE	Source	count	0	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Summary	(-)Orginal	18	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Summary	(+)Aionian	42	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Source(-)	Basic Latin : (M)	680	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Source(-)	Basic Latin : (A)	680	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Source(-)	Basic Latin : (R)	680	NOTICE
Palaung-Shwe---Shwe-Palaung-Bible	UNICODE	Source(-)	Basic Latin : ( )	6572	NOTICE
