# File Name: Holy-Bible---Holy-Bible---Pengo---Pengo-Bible---Analysis.txt
# File Size: 39958       
# File Date: 12/13/2025 05:53:01
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ସତ୍‌ ବଚନ୍‌
# Bible Name English: Pengo Bible
# Bible Language: Pengu
# Bible Language English: Pengo
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=peg
# Bible Source Year: 2020
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Pengo---Pengo-Bible	ENCODING	Source	Holy-Bible---Pengo---Pengo-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Pengo---Pengo-Bible	ENCODING	Aionian	Holy-Bible---Pengo---Pengo-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Pengo---Pengo-Bible	BYTES	Source	bytes / chars	3106511 / 1201485 (multi-byte)	NOTICE
Pengo---Pengo-Bible	BYTES	Aionian	bytes / chars	3163285 / 1257726 (multi-byte)	NOTICE
Pengo---Pengo-Bible	BYTES	SourceClean	bytes / chars	3105702 / 1200676 (multi-byte)	NOTICE
Pengo---Pengo-Bible	BYTES	AionianClean	bytes / chars	3160846 / 1255639 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Pengo---Pengo-Bible	AIONIAN	Aionian	book-not-exist	71	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	aionian-verses	193	NOTICE
Pengo---Pengo-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Pengo---Pengo-Bible	UNPRINTABLE	Source	count	0	NOTICE
Pengo---Pengo-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Pengo---Pengo-Bible	UNICODE	Summary	(-)Orginal	28	NOTICE
Pengo---Pengo-Bible	UNICODE	Summary	(+)Aionian	54	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (T)	2327	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : ( )	167676	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (1)	7944	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (:)	7833	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (\n)	7829	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (2)	4995	NOTICE
Pengo---Pengo-Bible	UNICODE	Source(-)	Basic Latin : (,)	13716	NOTICE
