# File Name: Holy-Bible---Holy-Bible---Persian---Old-Persion-Version-Bible---Analysis.txt
# File Size: 31387       
# File Date: 12/13/2025 05:53:11
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ترجمه قدیم
# Bible Name English: Old Persion Version Bible
# Bible Language: فارسی
# Bible Language English: Persian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=pesOPV
# Bible Source Year: 1895
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Persian---Old-Persion-Version-Bible	ENCODING	Source	Holy-Bible---Persian---Old-Persion-Version-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Persian---Old-Persion-Version-Bible	ENCODING	Aionian	Holy-Bible---Persian---Old-Persion-Version-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Persian---Old-Persion-Version-Bible	BYTES	Source	bytes / chars	5982437 / 3469396 (multi-byte)	NOTICE
Persian---Old-Persion-Version-Bible	BYTES	Aionian	bytes / chars	6196650 / 3682981 (multi-byte)	NOTICE
Persian---Old-Persion-Version-Bible	BYTES	SourceClean	bytes / chars	5981620 / 3468579 (multi-byte)	NOTICE
Persian---Old-Persion-Version-Bible	BYTES	AionianClean	bytes / chars	6192784 / 3679557 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Persian---Old-Persion-Version-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Persian---Old-Persion-Version-Bible	UNPRINTABLE	Source	count	0	NOTICE
Persian---Old-Persion-Version-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Persian---Old-Persion-Version-Bible	UNICODE	Summary	(-)Orginal	36	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Summary	(+)Aionian	58	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (G)	2336	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (E)	10910	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : ( )	680463	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (1)	30437	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (:)	37209	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (.)	32457	NOTICE
Persian---Old-Persion-Version-Bible	UNICODE	Source(-)	Basic Latin : (\n)	31090	NOTICE
