# File Name: Holy-Bible---Holy-Bible---Polci---Polci-Bible---Analysis.txt
# File Size: 228494      
# File Date: 12/13/2025 05:53:43
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Zul Pəlci Bible
# Bible Name English: Polci Bible
# Bible Language: Pəlci
# Bible Language English: Polci
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=plj
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Polci---Polci-Bible	ENCODING	Source	Holy-Bible---Polci---Polci-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Polci---Polci-Bible	ENCODING	Aionian	Holy-Bible---Polci---Polci-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Polci---Polci-Bible	BYTES	Source	bytes / chars	873322 / 826707 (multi-byte)	NOTICE
Polci---Polci-Bible	BYTES	Aionian	bytes / chars	922102 / 867240 (multi-byte)	NOTICE
Polci---Polci-Bible	BYTES	SourceClean	bytes / chars	778665 / 737227 (multi-byte)	NOTICE
Polci---Polci-Bible	BYTES	AionianClean	bytes / chars	920435 / 865577 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Polci---Polci-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	book-defined-not-exist	153	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	aionian-verses	111	NOTICE
Polci---Polci-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Polci---Polci-Bible	UNPRINTABLE	Source	count	0	NOTICE
Polci---Polci-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Polci---Polci-Bible	UNICODE	Summary	(-)Orginal	82	NOTICE
Polci---Polci-Bible	UNICODE	Summary	(+)Aionian	84	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (M)	3204	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (A)	5768	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (T)	2816	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : ( )	156692	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (1)	5960	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (:)	6196	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Latin Extended-B : (ǝ)	38538	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (n)	48703	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (k)	24467	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (i)	49902	NOTICE
Polci---Polci-Bible	UNICODE	Source(-)	Basic Latin : (')	5504	NOTICE
