# File Name: Holy-Bible---Holy-Bible---Polish---Open-Access-Word-of-Life---Analysis.txt
# File Size: 26632       
# File Date: 12/13/2025 05:53:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Słowo Życia, Otwarty Dostęp
# Bible Name English: Polish Open Access Word of Life
# Bible Language: Polskie
# Bible Language English: Polish
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=polsz
# Bible Source Year: 1991, 2005, 2016
# Bible Description: Original work available for free at www.biblica.com and open.bible
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Polish---Open-Access-Word-of-Life	ENCODING	Source	Holy-Bible---Polish---Open-Access-Word-of-Life---Source-Edition.VPL.txt	UTF-8	NOTICE
Polish---Open-Access-Word-of-Life	ENCODING	Aionian	Holy-Bible---Polish---Open-Access-Word-of-Life---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Polish---Open-Access-Word-of-Life	BYTES	Source	bytes / chars	1066138 / 991222 (multi-byte)	NOTICE
Polish---Open-Access-Word-of-Life	BYTES	Aionian	bytes / chars	1124757 / 1049648 (multi-byte)	NOTICE
Polish---Open-Access-Word-of-Life	BYTES	SourceClean	bytes / chars	1065297 / 990381 (multi-byte)	NOTICE
Polish---Open-Access-Word-of-Life	BYTES	AionianClean	bytes / chars	1122429 / 1047325 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	missing-verse	042-LUK-001-070	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	missing-verse	058-HEB-013-021	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	book-not-exist	0	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	missing-chapter	0	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	missing-verse	2	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	aionian-verses	198	NOTICE
Polish---Open-Access-Word-of-Life	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Polish---Open-Access-Word-of-Life	UNPRINTABLE	Source	count	0	NOTICE
Polish---Open-Access-Word-of-Life	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Polish---Open-Access-Word-of-Life	UNICODE	Summary	(-)Orginal	51	NOTICE
Polish---Open-Access-Word-of-Life	UNICODE	Summary	(+)Aionian	56	NOTICE
Polish---Open-Access-Word-of-Life	UNICODE	Source(-)	Basic Latin : (M)	3885	NOTICE
Polish---Open-Access-Word-of-Life	UNICODE	Source(-)	Basic Latin : (A)	4023	NOTICE
Polish---Open-Access-Word-of-Life	UNICODE	Source(-)	Basic Latin : (T)	3663	NOTICE
Polish---Open-Access-Word-of-Life	UNICODE	Source(-)	Basic Latin : ( )	147358	NOTICE
