# File Name: Holy-Bible---Holy-Bible---Polish---Polish-Gdansk---Analysis.txt
# File Size: 46160       
# File Date: 12/13/2025 05:53:49
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Święta Biblia
# Bible Name English: Polish Gdansk Bible 1881
# Bible Language: Polskie
# Bible Language English: Polish
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Daniel Mikołajewski, Jan Turnowsk, and others
# Bible Source Version: 7/17/2013
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=PolGdanska
# Bible Source Year: 1881
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Polish---Polish-Gdansk	ENCODING	Source	Holy-Bible---Polish---Polish-Gdansk---Source-Edition.SWORD.txt	UTF-8	NOTICE
Polish---Polish-Gdansk	ENCODING	Aionian	Holy-Bible---Polish---Polish-Gdansk---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Polish---Polish-Gdansk	BYTES	Source	bytes / chars	4432838 / 4168884 (multi-byte)	NOTICE
Polish---Polish-Gdansk	BYTES	Aionian	bytes / chars	4510174 / 4246037 (multi-byte)	NOTICE
Polish---Polish-Gdansk	BYTES	SourceClean	bytes / chars	4431001 / 4167047 (multi-byte)	NOTICE
Polish---Polish-Gdansk	BYTES	AionianClean	bytes / chars	4506585 / 4242468 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Polish---Polish-Gdansk	AIONIAN	Aionian	book-not-exist	0	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	missing-chapter	0	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	missing-verse	0	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	aionian-verses	264	NOTICE
Polish---Polish-Gdansk	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Polish---Polish-Gdansk	UNPRINTABLE	Source	count	0	NOTICE
Polish---Polish-Gdansk	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Polish---Polish-Gdansk	UNICODE	Summary	(-)Orginal	73	NOTICE
Polish---Polish-Gdansk	UNICODE	Summary	(+)Aionian	77	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (G)	3357	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (e)	266464	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (n)	138888	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (s)	157657	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (i)	297180	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : ( )	639156	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (0)	5424	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (:)	39937	NOTICE
Polish---Polish-Gdansk	UNICODE	Source(-)	Basic Latin : (1)	27008	NOTICE
