# File Name: Holy-Bible---Holy-Bible---Portuguese---New-Open-Access---Analysis.txt
# File Size: 37235       
# File Date: 12/13/2025 05:54:36
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bíblia Nova Versão de Acesso Livre
# Bible Name English: New Open Access Bible
# Bible Language: Língua Portuguesa
# Bible Language English: Portuguese
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Public Contribution
# Bible Source Version: 6/18/2024
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=PorNVA
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Portuguese---New-Open-Access	ENCODING	Source	Holy-Bible---Portuguese---New-Open-Access---Source-Edition.SWORD.txt	UTF-8	NOTICE
Portuguese---New-Open-Access	ENCODING	Aionian	Holy-Bible---Portuguese---New-Open-Access---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Portuguese---New-Open-Access	BYTES	Source	bytes / chars	5182160 / 5077646 (multi-byte)	NOTICE
Portuguese---New-Open-Access	BYTES	Aionian	bytes / chars	4572646 / 4469126 (multi-byte)	NOTICE
Portuguese---New-Open-Access	BYTES	SourceClean	bytes / chars	4528481 / 4425181 (multi-byte)	NOTICE
Portuguese---New-Open-Access	BYTES	AionianClean	bytes / chars	4569053 / 4465565 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Portuguese---New-Open-Access	AIONIAN	Aionian	book-not-exist	0	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	missing-chapter	0	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	missing-verse	0	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	aionian-verses	264	NOTICE
Portuguese---New-Open-Access	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Portuguese---New-Open-Access	UNPRINTABLE	Source	count	0	NOTICE
Portuguese---New-Open-Access	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Portuguese---New-Open-Access	UNICODE	Summary	(-)Orginal	68	NOTICE
Portuguese---New-Open-Access	UNICODE	Summary	(+)Aionian	71	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : ([)	3	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : ( )	763158	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (T)	6222	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (e)	435847	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (s)	307541	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (t)	137697	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (a)	377285	NOTICE
Portuguese---New-Open-Access	UNICODE	Source(-)	Basic Latin : (m)	143765	NOTICE
