# File Name: Holy-Bible---Holy-Bible---Portuguese---Open-New-Bible---Analysis.txt
# File Size: 144185      
# File Date: 12/13/2025 05:54:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Open Nova Bíblia Viva
# Bible Name English: Portuguese Open New Living Bible
# Bible Language: Língua Portuguesa
# Bible Language English: Portuguese
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=poronbv
# Bible Source Year: 2007, 2010
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Portuguese---Open-New-Bible	ENCODING	Source	Holy-Bible---Portuguese---Open-New-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Portuguese---Open-New-Bible	ENCODING	Aionian	Holy-Bible---Portuguese---Open-New-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Portuguese---Open-New-Bible	BYTES	Source	bytes / chars	4735081 / 4585298 (multi-byte)	NOTICE
Portuguese---Open-New-Bible	BYTES	Aionian	bytes / chars	4945919 / 4798977 (multi-byte)	NOTICE
Portuguese---Open-New-Bible	BYTES	SourceClean	bytes / chars	4734248 / 4584465 (multi-byte)	NOTICE
Portuguese---Open-New-Bible	BYTES	AionianClean	bytes / chars	4942350 / 4795439 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Portuguese---Open-New-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Portuguese---Open-New-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Portuguese---Open-New-Bible	UNPRINTABLE	Source	count	0	NOTICE
Portuguese---Open-New-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Portuguese---Open-New-Bible	UNICODE	Summary	(-)Orginal	49	NOTICE
Portuguese---Open-New-Bible	UNICODE	Summary	(+)Aionian	52	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (G)	3496	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : ( )	795059	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (1)	30576	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (:)	38354	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (o)	379458	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (p)	78687	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (r)	232405	NOTICE
Portuguese---Open-New-Bible	UNICODE	Source(-)	Basic Latin : (i)	171982	NOTICE
