# File Name: Holy-Bible---Holy-Bible---Portuguese---Portuguese-Trans-Trans---Analysis.txt
# File Size: 87864       
# File Date: 12/13/2025 05:54:52
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Tradução para Tradutores
# Bible Name English: Portuguese Bible for Translators
# Bible Language: Língua Portuguesa
# Bible Language English: Portuguese
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Ellis W. Deibler, Jr.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=portft
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Portuguese---Portuguese-Trans-Trans	ENCODING	Source	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Source-Edition.VPL.txt	UTF-8	NOTICE
Portuguese---Portuguese-Trans-Trans	ENCODING	Aionian	Holy-Bible---Portuguese---Portuguese-Trans-Trans---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Portuguese---Portuguese-Trans-Trans	BYTES	Source	bytes / chars	1851954 / 1803156 (multi-byte)	NOTICE
Portuguese---Portuguese-Trans-Trans	BYTES	Aionian	bytes / chars	1909337 / 1860357 (multi-byte)	NOTICE
Portuguese---Portuguese-Trans-Trans	BYTES	SourceClean	bytes / chars	1851107 / 1802309 (multi-byte)	NOTICE
Portuguese---Portuguese-Trans-Trans	BYTES	AionianClean	bytes / chars	1907094 / 1858128 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	book-not-exist	0	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	missing-chapter	0	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	missing-verse	0	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	aionian-verses	200	NOTICE
Portuguese---Portuguese-Trans-Trans	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Portuguese---Portuguese-Trans-Trans	UNPRINTABLE	Source	count	0	NOTICE
Portuguese---Portuguese-Trans-Trans	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Portuguese---Portuguese-Trans-Trans	UNICODE	Summary	(-)Orginal	58	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Summary	(+)Aionian	59	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Source(-)	Basic Latin : (M)	6008	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Source(-)	Basic Latin : (A)	5049	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Source(-)	Basic Latin : (T)	4631	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Source(-)	Basic Latin : ( )	296460	NOTICE
Portuguese---Portuguese-Trans-Trans	UNICODE	Source(-)	Basic Latin : (1)	8044	NOTICE
