# File Name: Holy-Bible---Holy-Bible---Portuguese---World-Portuguese-Bible---Analysis.txt
# File Size: 52490       
# File Date: 09/02/2026 04:48:50
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2026
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bíblia Portuguesa Mundial
# Bible Name English: World Portuguese Bible
# Bible Language: Língua Portuguesa
# Bible Language English: Portuguese
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2026
# Bible Copyright Text: Public Domain
# Bible Source: Revision of Free Holy Bible for the World
# Bible Source Version: 8/19/2026
# Bible Source Link: https://ebible.org/details.php?id=porbrbsl
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Portuguese---World-Portuguese-Bible	ENCODING	Source	Holy-Bible---Portuguese---World-Portuguese-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Portuguese---World-Portuguese-Bible	ENCODING	Aionian	Holy-Bible---Portuguese---World-Portuguese-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Portuguese---World-Portuguese-Bible	BYTES	Source	bytes / chars	5371951 / 5204648 (multi-byte)	NOTICE
Portuguese---World-Portuguese-Bible	BYTES	Aionian	bytes / chars	4599674 / 4458595 (multi-byte)	NOTICE
Portuguese---World-Portuguese-Bible	BYTES	SourceClean	bytes / chars	5371130 / 5203827 (multi-byte)	NOTICE
Portuguese---World-Portuguese-Bible	BYTES	AionianClean	bytes / chars	4596122 / 4455074 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Portuguese---World-Portuguese-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Portuguese---World-Portuguese-Bible	UNPRINTABLE	Source	count	0	NOTICE
Portuguese---World-Portuguese-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Portuguese---World-Portuguese-Bible	UNICODE	Summary	(-)Orginal	95	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Summary	(+)Aionian	96	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (G)	4269	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (E)	35989	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (N)	14990	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : ( )	913477	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (1)	37708	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (:)	47615	NOTICE
Portuguese---World-Portuguese-Bible	UNICODE	Source(-)	Basic Latin : (o)	412147	NOTICE
