# File Name: Holy-Bible---Holy-Bible---Potawatomi---Potawatomi-Bible---Analysis.txt
# File Size: 15484       
# File Date: 12/13/2025 05:55:03
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Potawatomi Bible
# Bible Name English: Potawatomi Bible
# Bible Language: Potawami
# Bible Language English: Potawami
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Lykins
# Bible Source Version: 7/18/2013
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=PotLykins
# Bible Source Year: 1833
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Potawatomi---Potawatomi-Bible	ENCODING	Source	Holy-Bible---Potawatomi---Potawatomi-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Potawatomi---Potawatomi-Bible	ENCODING	Aionian	Holy-Bible---Potawatomi---Potawatomi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Potawatomi---Potawatomi-Bible	BYTES	Source	bytes / chars	290160 / 289494 (multi-byte)	NOTICE
Potawatomi---Potawatomi-Bible	BYTES	Aionian	bytes / chars	299246 / 298559 (multi-byte)	NOTICE
Potawatomi---Potawatomi-Bible	BYTES	SourceClean	bytes / chars	289301 / 288635 (multi-byte)	NOTICE
Potawatomi---Potawatomi-Bible	BYTES	AionianClean	bytes / chars	297967 / 297280 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	book-defined-not-exist	236	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	aionian-verses	28	NOTICE
Potawatomi---Potawatomi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Potawatomi---Potawatomi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Potawatomi---Potawatomi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Potawatomi---Potawatomi-Bible	UNICODE	Summary	(-)Orginal	30	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Summary	(+)Aionian	34	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (a)	17764	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (t)	16350	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (h)	6127	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (e)	15796	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (w)	14286	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : ( )	33172	NOTICE
Potawatomi---Potawatomi-Bible	UNICODE	Source(-)	Basic Latin : (1)	1723	NOTICE
