# File Name: Holy-Bible---Holy-Bible---Rakhine---Rakhine-Bible---Analysis.txt
# File Size: 108609      
# File Date: 12/13/2025 05:55:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: ဓမ္မသစ်ကျမ်း ရခိုင်ဘာသာစကား
# Bible Name English: Rakhine Bible
# Bible Language: ရခိုင်ဘာသာ
# Bible Language English: Rakhine
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World International
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=rki
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Rakhine---Rakhine-Bible	ENCODING	Source	Holy-Bible---Rakhine---Rakhine-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Rakhine---Rakhine-Bible	ENCODING	Aionian	Holy-Bible---Rakhine---Rakhine-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Rakhine---Rakhine-Bible	BYTES	Source	bytes / chars	3586335 / 1306639 (multi-byte)	NOTICE
Rakhine---Rakhine-Bible	BYTES	Aionian	bytes / chars	3644074 / 1364376 (multi-byte)	NOTICE
Rakhine---Rakhine-Bible	BYTES	SourceClean	bytes / chars	3585518 / 1305822 (multi-byte)	NOTICE
Rakhine---Rakhine-Bible	BYTES	AionianClean	bytes / chars	3641441 / 1362187 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Rakhine---Rakhine-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	aionian-verses	200	NOTICE
Rakhine---Rakhine-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Rakhine---Rakhine-Bible	UNPRINTABLE	Source	count	0	NOTICE
Rakhine---Rakhine-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Rakhine---Rakhine-Bible	UNICODE	Summary	(-)Orginal	73	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Summary	(+)Aionian	96	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : (M)	2311	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : (A)	3007	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : (T)	2499	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : ( )	100904	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : (1)	8036	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Basic Latin : (:)	7940	NOTICE
Rakhine---Rakhine-Bible	UNICODE	Source(-)	Myanmar : (အ)	23362	NOTICE
