# File Name: Holy-Bible---Holy-Bible---Reli---Reli-Bible---Analysis.txt
# File Size: 15318       
# File Date: 12/13/2025 05:55:15
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: సొత్తొ పురువురొ పవిత్రొ కొత
# Bible Name English: Reli Bible
# Bible Language: Reli
# Bible Language English: Reli
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Word for the World South Asia
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=rei
# Bible Source Year: 2023
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Reli---Reli-Bible	ENCODING	Source	Holy-Bible---Reli---Reli-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Reli---Reli-Bible	ENCODING	Aionian	Holy-Bible---Reli---Reli-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Reli---Reli-Bible	BYTES	Source	bytes / chars	1223380 / 471354 (multi-byte)	NOTICE
Reli---Reli-Bible	BYTES	Aionian	bytes / chars	1251070 / 498645 (multi-byte)	NOTICE
Reli---Reli-Bible	BYTES	SourceClean	bytes / chars	1222575 / 470549 (multi-byte)	NOTICE
Reli---Reli-Bible	BYTES	AionianClean	bytes / chars	1248866 / 496729 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Reli---Reli-Bible	AIONIAN	Aionian	missing-verse	056-TIT-003-007	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	book-defined-not-exist	142	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	missing-verse	1	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	aionian-verses	121	NOTICE
Reli---Reli-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Reli---Reli-Bible	UNPRINTABLE	Source	count	0	NOTICE
Reli---Reli-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Reli---Reli-Bible	UNICODE	Summary	(-)Orginal	26	NOTICE
Reli---Reli-Bible	UNICODE	Summary	(+)Aionian	43	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (M)	1096	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (A)	1220	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (T)	1493	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : ( )	57418	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (1)	4017	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (:)	3535	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (,)	2967	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (\n)	3535	NOTICE
Reli---Reli-Bible	UNICODE	Source(-)	Basic Latin : (2)	2442	NOTICE
