# File Name: Holy-Bible---Holy-Bible---Rohingya---Rohingya-Bible---Analysis.txt
# File Size: 21170       
# File Date: 12/13/2025 05:55:19
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ruáingga Bible
# Bible Name English: Rohingya Bible
# Bible Language: Ruáingga
# Bible Language English: Rohingya
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Wycliffe Bible Translators
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=rhg
# Bible Source Year: 2025
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Rohingya---Rohingya-Bible	ENCODING	Source	Holy-Bible---Rohingya---Rohingya-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Rohingya---Rohingya-Bible	ENCODING	Aionian	Holy-Bible---Rohingya---Rohingya-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Rohingya---Rohingya-Bible	BYTES	Source	bytes / chars	796975 / 766533 (multi-byte)	NOTICE
Rohingya---Rohingya-Bible	BYTES	Aionian	bytes / chars	836634 / 806124 (multi-byte)	NOTICE
Rohingya---Rohingya-Bible	BYTES	SourceClean	bytes / chars	796154 / 765712 (multi-byte)	NOTICE
Rohingya---Rohingya-Bible	BYTES	AionianClean	bytes / chars	835119 / 804612 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Rohingya---Rohingya-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	book-defined-not-exist	194	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	aionian-verses	70	NOTICE
Rohingya---Rohingya-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Rohingya---Rohingya-Bible	UNPRINTABLE	Source	count	0	NOTICE
Rohingya---Rohingya-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Rohingya---Rohingya-Bible	UNICODE	Summary	(-)Orginal	42	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Summary	(+)Aionian	46	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (G)	1868	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : ( )	122700	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (1)	4705	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (:)	6218	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (u)	20614	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (r)	45733	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (t)	27074	NOTICE
Rohingya---Rohingya-Bible	UNICODE	Source(-)	Basic Latin : (m)	10073	NOTICE
