# File Name: Holy-Bible---Holy-Bible---Romanian---Cyrillic---Analysis.txt
# File Size: 30997       
# File Date: 12/13/2025 05:55:44
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Библия Думитру Корнилеску 1924
# Bible Name English: Romanian Bible (Cyrillic)
# Bible Language: Română
# Bible Language English: Romanian
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Dumitru Cornilescu
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ron1924
# Bible Source Year: 1924
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Romanian---Cyrillic	ENCODING	Source	Holy-Bible---Romanian---Cyrillic---Source-Edition.VPL.txt	UTF-8	NOTICE
Romanian---Cyrillic	ENCODING	Aionian	Holy-Bible---Romanian---Cyrillic---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Romanian---Cyrillic	BYTES	Source	bytes / chars	7157214 / 4129497 (multi-byte)	NOTICE
Romanian---Cyrillic	BYTES	Aionian	bytes / chars	7378299 / 4349482 (multi-byte)	NOTICE
Romanian---Cyrillic	BYTES	SourceClean	bytes / chars	7156427 / 4128710 (multi-byte)	NOTICE
Romanian---Cyrillic	BYTES	AionianClean	bytes / chars	7374384 / 4346034 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Romanian---Cyrillic	AIONIAN	Aionian	book-not-exist	0	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	missing-chapter	0	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	missing-verse	0	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	aionian-verses	264	NOTICE
Romanian---Cyrillic	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Romanian---Cyrillic	UNPRINTABLE	Source	count	0	NOTICE
Romanian---Cyrillic	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Romanian---Cyrillic	UNICODE	Summary	(-)Orginal	40	NOTICE
Romanian---Cyrillic	UNICODE	Summary	(+)Aionian	78	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (G)	2338	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (E)	10914	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (N)	3679	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : ( )	724701	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (1)	30313	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (:)	39941	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (,)	55989	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (.)	28368	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (\n)	31045	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (2)	21649	NOTICE
Romanian---Cyrillic	UNICODE	Source(-)	Basic Latin : (3)	12245	NOTICE
