# File Name: Holy-Bible---Holy-Bible---Romanian---Ludari-Luke---Analysis.txt
# File Size: 39110       
# File Date: 12/13/2025 05:55:55
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Ludari Luka
# Bible Name English: Ludari Luke
# Bible Language: Ludari
# Bible Language English: Romanian
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Pioneers.org
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=ronludari
# Bible Source Year: 2019
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Romanian---Ludari-Luke	ENCODING	Source	Holy-Bible---Romanian---Ludari-Luke---Source-Edition.VPL.txt	UTF-8	NOTICE
Romanian---Ludari-Luke	ENCODING	Aionian	Holy-Bible---Romanian---Ludari-Luke---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Romanian---Ludari-Luke	BYTES	Source	bytes / chars	164038 / 152006 (multi-byte)	NOTICE
Romanian---Ludari-Luke	BYTES	Aionian	bytes / chars	171621 / 159576 (multi-byte)	NOTICE
Romanian---Ludari-Luke	BYTES	SourceClean	bytes / chars	163211 / 151179 (multi-byte)	NOTICE
Romanian---Ludari-Luke	BYTES	AionianClean	bytes / chars	170368 / 158323 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Romanian---Ludari-Luke	AIONIAN	Aionian	book-not-exist	0	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	book-defined-not-exist	250	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	missing-chapter	0	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	missing-verse	0	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	aionian-verses	14	NOTICE
Romanian---Ludari-Luke	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Romanian---Ludari-Luke	UNPRINTABLE	Source	count	0	NOTICE
Romanian---Ludari-Luke	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Romanian---Ludari-Luke	UNICODE	Summary	(-)Orginal	32	NOTICE
Romanian---Ludari-Luke	UNICODE	Summary	(+)Aionian	36	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (L)	1208	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (U)	1207	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (K)	1360	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : ( )	27193	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (1)	988	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (:)	1657	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (o)	4190	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (a)	13862	NOTICE
Romanian---Ludari-Luke	UNICODE	Source(-)	Basic Latin : (n)	4948	NOTICE
