# File Name: Holy-Bible---Holy-Bible---Sanga---Sanga-Bible---Analysis.txt
# File Size: 14541       
# File Date: 12/13/2025 05:56:17
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Isanga Bible
# Bible Name English: Sanga Bible
# Bible Language: Isanga
# Bible Language English: Sanga
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: The Seed Company
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=xsn
# Bible Source Year: 2022
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sanga---Sanga-Bible	ENCODING	Source	Holy-Bible---Sanga---Sanga-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Sanga---Sanga-Bible	ENCODING	Aionian	Holy-Bible---Sanga---Sanga-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sanga---Sanga-Bible	BYTES	Source	bytes / chars	304544 / 297675 (multi-byte)	NOTICE
Sanga---Sanga-Bible	BYTES	Aionian	bytes / chars	320030 / 313133 (multi-byte)	NOTICE
Sanga---Sanga-Bible	BYTES	SourceClean	bytes / chars	303735 / 296866 (multi-byte)	NOTICE
Sanga---Sanga-Bible	BYTES	AionianClean	bytes / chars	318755 / 311858 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sanga---Sanga-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	book-defined-not-exist	228	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	aionian-verses	36	NOTICE
Sanga---Sanga-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sanga---Sanga-Bible	UNPRINTABLE	Source	count	0	NOTICE
Sanga---Sanga-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sanga---Sanga-Bible	UNICODE	Summary	(-)Orginal	26	NOTICE
Sanga---Sanga-Bible	UNICODE	Summary	(+)Aionian	29	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (A)	2893	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : ( )	59972	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (1)	1825	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (:)	2234	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (n)	18785	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (a)	50163	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (e)	24590	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (b)	5113	NOTICE
Sanga---Sanga-Bible	UNICODE	Source(-)	Basic Latin : (i)	9821	NOTICE
