# File Name: Holy-Bible---Holy-Bible---Sanskrit---Harvard-Kyoto-Script---Analysis.txt
# File Size: 22580       
# File Date: 12/13/2025 05:56:40
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Sanskrit NT, Harvard-Kyoto
# Bible Name English: Sanskrit NT, Harvard-Kyoto
# Bible Language: Harvard-Kyoto
# Bible Language English: Sanskrit
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: SanskritBible.in
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=sanhk
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sanskrit---Harvard-Kyoto-Script	ENCODING	Source	Holy-Bible---Sanskrit---Harvard-Kyoto-Script---Source-Edition.VPL.txt	UTF-8	NOTICE
Sanskrit---Harvard-Kyoto-Script	ENCODING	Aionian	Holy-Bible---Sanskrit---Harvard-Kyoto-Script---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sanskrit---Harvard-Kyoto-Script	BYTES	Source	bytes / chars	1006483 / 1006218 (multi-byte)	NOTICE
Sanskrit---Harvard-Kyoto-Script	BYTES	Aionian	bytes / chars	1064827 / 1064631 (multi-byte)	NOTICE
Sanskrit---Harvard-Kyoto-Script	BYTES	SourceClean	bytes / chars	1005646 / 1005381 (multi-byte)	NOTICE
Sanskrit---Harvard-Kyoto-Script	BYTES	AionianClean	bytes / chars	1062580 / 1062384 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	missing-verse	0	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	aionian-verses	200	NOTICE
Sanskrit---Harvard-Kyoto-Script	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sanskrit---Harvard-Kyoto-Script	UNPRINTABLE	Source	count	0	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Summary	(-)Orginal	64	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Summary	(+)Aionian	54	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Source(-)	Basic Latin : (M)	24443	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Source(-)	Basic Latin : (A)	64567	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Source(-)	Basic Latin : (T)	5515	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Source(-)	Basic Latin : ( )	111935	NOTICE
Sanskrit---Harvard-Kyoto-Script	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
