# File Name: Holy-Bible---Holy-Bible---Sanskrit---Velthuis-Script---Analysis.txt
# File Size: 21332       
# File Date: 12/13/2025 05:57:33
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Sanskrit New Testament, Velthuis
# Bible Name English: Sanskrit New Testament, Velthuis
# Bible Language: Velthuis
# Bible Language English: Sanskrit
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: SanskritBible.in
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=sanvel
# Bible Source Year: 2018
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sanskrit---Velthuis-Script	ENCODING	Source	Holy-Bible---Sanskrit---Velthuis-Script---Source-Edition.VPL.txt	UTF-8	NOTICE
Sanskrit---Velthuis-Script	ENCODING	Aionian	Holy-Bible---Sanskrit---Velthuis-Script---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sanskrit---Velthuis-Script	BYTES	Source	bytes / chars	1158151 / 1155536 (multi-byte)	NOTICE
Sanskrit---Velthuis-Script	BYTES	Aionian	bytes / chars	1267493 / 1267299 (multi-byte)	NOTICE
Sanskrit---Velthuis-Script	BYTES	SourceClean	bytes / chars	1157322 / 1154707 (multi-byte)	NOTICE
Sanskrit---Velthuis-Script	BYTES	AionianClean	bytes / chars	1265194 / 1265000 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sanskrit---Velthuis-Script	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	book-defined-not-exist	64	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	missing-verse	0	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	aionian-verses	200	NOTICE
Sanskrit---Velthuis-Script	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sanskrit---Velthuis-Script	UNPRINTABLE	Source	count	0	NOTICE
Sanskrit---Velthuis-Script	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sanskrit---Velthuis-Script	UNICODE	Summary	(-)Orginal	66	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Summary	(+)Aionian	54	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (M)	2315	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (A)	3013	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (T)	2502	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : ( )	111935	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (1)	8053	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (:)	7968	NOTICE
Sanskrit---Velthuis-Script	UNICODE	Source(-)	Basic Latin : (i)	62852	NOTICE
