# File Name: Holy-Bible---Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark---Analysis.txt
# File Size: 19253       
# File Date: 12/13/2025 05:57:38
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Gàidhlig Soisgeul
# Bible Name English: Scots Gaelic Gospel of Mark
# Bible Language: Gàidhlig
# Bible Language English: Scots Gaelic
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Revised from Father Ewen MacEachan's New Testament
# Bible Source Version: 7/17/2013
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=ScotsGaelic
# Bible Source Year: 1875
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	ENCODING	Source	Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark---Source-Edition.SWORD.txt	ASCII	WARNING
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	ENCODING	Aionian	Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	BYTES	Source	bytes / chars	96147 / 96147 (single-byte)	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	BYTES	Aionian	bytes / chars	95877 / 95868 (multi-byte)	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	BYTES	SourceClean	bytes / chars	90768 / 90768 (single-byte)	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	BYTES	AionianClean	bytes / chars	94555 / 94548 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	book-not-exist	0	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	book-defined-not-exist	256	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	missing-chapter	0	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	missing-verse	0	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	aionian-verses	8	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNPRINTABLE	Source	count	0	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNICODE	Summary	(-)Orginal	42	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNICODE	Summary	(+)Aionian	42	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNICODE	Source(-)	Basic Latin : ([)	1	NOTICE
Scots-Gaelic---Scots-Gaelic-Gospel-Mark	UNICODE	Source(-)	Basic Latin : ( )	16379	NOTICE
