# File Name: Holy-Bible---Holy-Bible---Serbian---Serbian-ONST-Latin---Analysis.txt
# File Size: 26383       
# File Date: 12/13/2025 05:58:10
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Novi Srpski Prevod, Slobodna
# Bible Name English: New Serbian Open Bible (latin)
# Bible Language: Srpski
# Bible Language English: Serbian
# Bible Copyright Format: Creative Commons Attribution ShareAlike 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution ShareAlike 4.0
# Bible Source: Biblica, Inc.
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=srponstl
# Bible Source Year: 2005 2017
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Serbian---Serbian-ONST-Latin	ENCODING	Source	Holy-Bible---Serbian---Serbian-ONST-Latin---Source-Edition.VPL.txt	UTF-8	NOTICE
Serbian---Serbian-ONST-Latin	ENCODING	Aionian	Holy-Bible---Serbian---Serbian-ONST-Latin---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Serbian---Serbian-ONST-Latin	BYTES	Source	bytes / chars	3813847 / 3683926 (multi-byte)	NOTICE
Serbian---Serbian-ONST-Latin	BYTES	Aionian	bytes / chars	4022466 / 3898494 (multi-byte)	NOTICE
Serbian---Serbian-ONST-Latin	BYTES	SourceClean	bytes / chars	3813010 / 3683089 (multi-byte)	NOTICE
Serbian---Serbian-ONST-Latin	BYTES	AionianClean	bytes / chars	4018509 / 3894542 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	book-not-exist	0	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	missing-chapter	0	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	missing-verse	0	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	aionian-verses	264	NOTICE
Serbian---Serbian-ONST-Latin	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Serbian---Serbian-ONST-Latin	UNPRINTABLE	Source	count	0	NOTICE
Serbian---Serbian-ONST-Latin	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Serbian---Serbian-ONST-Latin	UNICODE	Summary	(-)Orginal	53	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Summary	(+)Aionian	56	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : (G)	12005	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : (E)	13196	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : ( )	629579	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : (1)	30439	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : (:)	39855	NOTICE
Serbian---Serbian-ONST-Latin	UNICODE	Source(-)	Basic Latin : (p)	67009	NOTICE
