# File Name: Holy-Bible---Holy-Bible---Sgaw-Karen---Mason-Bible---Analysis.txt
# File Size: 70550       
# File Date: 12/13/2025 05:58:23
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: S'gaw Karen Mason Bible
# Bible Name English: S'gaw Karen Mason Bible
# Bible Language: S'gaw Karen
# Bible Language English: S'gaw Karen
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Public Domain
# Bible Source: Myanmar Bible Society
# Bible Source Version: 11/28/2024
# Bible Source Link: https://crosswire.org/sword/modules/ModInfo.jsp?modName=KswSKMB
# Bible Source Year: 1853
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Sgaw-Karen---Mason-Bible	ENCODING	Source	Holy-Bible---Sgaw-Karen---Mason-Bible---Source-Edition.SWORD.txt	UTF-8	NOTICE
Sgaw-Karen---Mason-Bible	ENCODING	Aionian	Holy-Bible---Sgaw-Karen---Mason-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Sgaw-Karen---Mason-Bible	BYTES	Source	bytes / chars	11876196 / 4864455 (multi-byte)	NOTICE
Sgaw-Karen---Mason-Bible	BYTES	Aionian	bytes / chars	11263045 / 4256979 (multi-byte)	NOTICE
Sgaw-Karen---Mason-Bible	BYTES	SourceClean	bytes / chars	11128091 / 4122170 (multi-byte)	NOTICE
Sgaw-Karen---Mason-Bible	BYTES	AionianClean	bytes / chars	11259547 / 4253481 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Sgaw-Karen---Mason-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Sgaw-Karen---Mason-Bible	UNPRINTABLE	Source	count	0	NOTICE
Sgaw-Karen---Mason-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Sgaw-Karen---Mason-Bible	UNICODE	Summary	(-)Orginal	76	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Summary	(+)Aionian	72	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : ([)	17	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : ( )	92797	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : (T)	406	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : (e)	25012	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : (s)	24334	NOTICE
Sgaw-Karen---Mason-Bible	UNICODE	Source(-)	Basic Latin : (t)	7684	NOTICE
