# File Name: Holy-Bible---Holy-Bible---Shi---Mashi-Bible---Analysis.txt
# File Size: 41484       
# File Date: 12/13/2025 05:58:38
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2025
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
# Bible Name: Bibliya Ntagatifu Omu Mashi
# Bible Name English: Shi Mashi Bible
# Bible Language: Mashi
# Bible Language English: Shi
# Bible Copyright Format: Creative Commons Attribution 4.0 International, 2018-2025
# Bible Copyright Text: Creative Commons Attribution 4.0
# Bible Source: BUKAVU Mashi and other Kivu Languages Bible
# Bible Source Version: 12/11/2025
# Bible Source Link: https://ebible.org/details.php?id=shr
# Bible Source Year: 2024
#
# Following are analyses of the source Bible text and the resulting Aionian Edition text.
# Problems are noted and comparing past and updated analyses shows regressions and improvements.
# Some analyses are relevant only to the Aionian Bible project and others are relevant to everyone.
# Also note the Aionian Bible project reversifies to the KJV standard and reports variances.
# Search for these words below: NOTICE, WARNING, and ERROR
#

BIBLE	ANALYSIS	CATEGORY	INPUT	RESULT	STATUS

# ENCODING
Shi---Mashi-Bible	ENCODING	Source	Holy-Bible---Shi---Mashi-Bible---Source-Edition.VPL.txt	UTF-8	NOTICE
Shi---Mashi-Bible	ENCODING	Aionian	Holy-Bible---Shi---Mashi-Bible---Aionian-Edition.noia	UTF-8	NOTICE

# FILE BYTES
Shi---Mashi-Bible	BYTES	Source	bytes / chars	5221536 / 4897543 (multi-byte)	NOTICE
Shi---Mashi-Bible	BYTES	Aionian	bytes / chars	4793329 / 4508571 (multi-byte)	NOTICE
Shi---Mashi-Bible	BYTES	SourceClean	bytes / chars	5220742 / 4896749 (multi-byte)	NOTICE
Shi---Mashi-Bible	BYTES	AionianClean	bytes / chars	4789846 / 4505103 (multi-byte)	NOTICE

# AIONIAN VERSE COUNTS - LOOKING FOR 264
Shi---Mashi-Bible	AIONIAN	Aionian	book-not-exist	0	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	book-exist-not-defined	0	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	book-defined-not-exist	0	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	missing-chapter	0	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	missing-verse	0	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	aionian-verses	264	NOTICE
Shi---Mashi-Bible	AIONIAN	Aionian	tested-verses	264	NOTICE

# UNPRINTABLE
Shi---Mashi-Bible	UNPRINTABLE	Source	count	0	NOTICE
Shi---Mashi-Bible	UNPRINTABLE	Aionian	count	0	NOTICE

# UNICODE
Shi---Mashi-Bible	UNICODE	Summary	(-)Orginal	94	NOTICE
Shi---Mashi-Bible	UNICODE	Summary	(+)Aionian	95	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (G)	3727	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (E)	17583	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (N)	25388	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : ( )	625262	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (1)	35214	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (:)	45385	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (A)	22806	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (h)	178881	NOTICE
Shi---Mashi-Bible	UNICODE	Source(-)	Basic Latin : (a)	576051	NOTICE
